GENE_SYMBOL,Log_FoldChange,absLogFC,logCPM,PValue,FDR_adjusted_P.value
ASMTL,-0.65,0.65,5.119,1.27612E-05,8.79366E-05
DSC3,-0.65,0.65,7.028,0.001195655,0.004464253
HHIPL1,-0.65,0.65,0.627,0.004297805,0.01311084
HIST1H1T,0.65,0.65,-3.021,0.339593301,0.462524678
LINCR-0001,0.65,0.65,-3.275,0.352019411,0.475247334
LINC00484,-0.65,0.65,-3.202,0.553611996,0.667372764
METTL23,-0.649,0.649,3.568,1.24449E-05,8.59939E-05
TMEM120A,-0.649,0.649,4.019,1.59197E-05,0.000107109
RSG1,-0.649,0.649,1.446,0.002277884,0.0076882
TOMM70,-0.649,0.649,6.217,0.003614915,0.011360439
VCAN,-0.649,0.649,5.632,0.008671389,0.023569413
ZNF177,0.649,0.649,-0.01,0.021694411,0.050998191
SALL4,0.649,0.649,-0.589,0.041366632,0.087085201
LINC02405,0.649,0.649,-3.644,0.631115362,0.734552723
MIPEP,-0.648,0.648,4.828,4.10362E-07,4.16698E-06
EHD3,-0.648,0.648,3.315,5.5652E-07,5.45414E-06
PCDH1,0.648,0.648,6.122,1.87587E-06,1.611E-05
FUCA1,-0.648,0.648,4.022,6.30292E-06,4.74254E-05
DGKE,0.648,0.648,2.621,0.000221885,0.001057786
C20orf96,0.648,0.648,-0.195,0.001343477,0.004927032
ZNF135,-0.648,0.648,0.136,0.021301829,0.050222299
TMEM196,0.648,0.648,-3.072,0.535615359,0.651016517
EBPL,-0.647,0.647,4.738,6.67189E-06,4.9789E-05
RPP25L,-0.647,0.647,3.898,1.48424E-05,0.000100583
AHCY,-0.647,0.647,8.55,6.67088E-05,0.000373423
CYP4V2,0.647,0.647,2.422,0.001083395,0.004109227
TRPS1,0.647,0.647,5.811,0.003877184,0.012061565
CSRNP1,0.647,0.647,4.854,0.030684225,0.068142732
RXRB,0.647,0.647,-2.842,0.236481603,0.349493673
PLXNA4,-0.647,0.647,-1.279,0.356578975,0.479952041
DSCR8,0.647,0.647,-3.518,0.673347602,0.770460104
ZNF250,-0.646,0.646,3.403,1.55119E-07,1.72208E-06
SGK1,-0.646,0.646,5.601,3.73774E-06,2.99073E-05
USP42,0.646,0.646,3.309,3.92745E-06,3.12805E-05
FXYD5,0.646,0.646,6.406,6.77547E-05,0.00037843
PSMF1,0.646,0.646,6.7,7.92879E-05,0.000434009
ERAP2,0.646,0.646,5.916,8.18672E-05,0.000446282
H2AFJ,-0.646,0.646,4.907,0.000151728,0.000764315
IL18R1,0.646,0.646,1.59,0.004414289,0.013403928
ACSL6,0.646,0.646,-0.938,0.258880212,0.375224496
ZFP41,0.646,0.646,-1.992,0.469186942,0.589814034
HERPUD1,-0.645,0.645,6.255,3.90738E-07,3.98752E-06
NIT2,-0.645,0.645,5.74,7.44877E-07,7.06017E-06
SELENOO,-0.645,0.645,4.516,3.53274E-06,2.84287E-05
YARS2,-0.645,0.645,5.211,5.09024E-05,0.000296151
SMAD9,0.645,0.645,-0.876,0.010693181,0.028120077
CHAC1,-0.645,0.645,2.014,0.141911962,0.234369914
ANKRD11,0.644,0.644,5.548,7.52156E-08,8.91332E-07
EXOSC5,-0.644,0.644,3.136,2.09367E-06,1.77634E-05
LRIG1,-0.644,0.644,3.026,2.05252E-05,0.000133929
HDGFRP2,-0.644,0.644,5.729,2.50315E-05,0.000159177
NME1-NME2,-0.644,0.644,4.855,8.83417E-05,0.000477181
ZNF329,-0.644,0.644,3.696,9.72954E-05,0.00051808
PHC3,0.644,0.644,4.609,0.000120986,0.00062571
PRR14,0.644,0.644,3.28,0.0001435,0.000727757
FAM114A1,-0.644,0.644,5.978,0.000152762,0.000767978
PRR11,-0.644,0.644,4.656,0.000685058,0.002780283
ENDOV,0.644,0.644,2.603,0.000737636,0.002959768
ACBD4,0.644,0.644,1.809,0.002066793,0.007094979
GOLGA8N,0.644,0.644,1.449,0.039562773,0.083913879
RN7SL1,-0.644,0.644,6.437,0.114331731,0.197122462
TP53BP2,0.643,0.643,4.584,4.7603E-06,3.71488E-05
ZXDA,-0.643,0.643,1.899,3.02182E-05,0.000188222
TMEM205,-0.643,0.643,4.665,4.52648E-05,0.000267076
FRK,0.643,0.643,3.97,0.000150697,0.000760456
TMEM92,0.643,0.643,3.504,0.000209531,0.00100851
SLC39A4,0.643,0.643,2.907,0.004262363,0.013015078
NAT6,-0.643,0.643,2.37,0.004786815,0.014335231
GDPD2,-0.643,0.643,-0.444,0.036740229,0.078903966
MPP2,-0.643,0.643,0.7,0.052777232,0.106007814
SLC23A3,0.643,0.643,-1.363,0.097914597,0.174439217
MMP3,-0.643,0.643,0.251,0.146082494,0.239743704
TNFRSF11B,0.643,0.643,-2.383,0.150511121,0.245489204
ARHGAP6,0.643,0.643,-2.391,0.159084702,0.256533777
KCTD16,-0.643,0.643,-1.518,0.245427731,0.359830553
NLGN4X,0.643,0.643,-2.647,0.248028618,0.362739564
DIRAS3,0.643,0.643,-3.245,0.287586127,0.407021593
LINC00706,0.643,0.643,-3.657,0.641911148,0.743798132
TYRO3,-0.642,0.642,4.028,5.77701E-05,0.000330375
CLP1,-0.642,0.642,4.161,0.000179997,0.000886273
EP400,0.642,0.642,4.243,0.001597001,0.005695219
HIST1H2AE,-0.642,0.642,8.205,0.021411878,0.050444742
CLDN4,0.642,0.642,5.282,0.040047715,0.084728926
TCN1,-0.642,0.642,0.538,0.043914233,0.091485948
LOC105376064,-0.642,0.642,-3.087,0.323585543,0.446617945
MIR4484,-0.642,0.642,-3.334,0.556402112,0.669908713
LINC01596,0.642,0.642,-3.832,1,1
AP1S1,-0.641,0.641,6.902,1.1316E-07,1.29002E-06
HTR7,-0.641,0.641,3.376,5.50925E-06,4.21907E-05
DRAM2,-0.641,0.641,4.633,1.43061E-05,9.72709E-05
ZNF582-AS1,0.641,0.641,0.407,0.000391541,0.001728126
USP6,0.641,0.641,0.645,0.000975316,0.003753732
DNAH2,0.641,0.641,0.723,0.009015141,0.024353658
TVP23A,0.641,0.641,-0.999,0.025069034,0.057448059
SPAAR,0.641,0.641,-0.813,0.051492026,0.103991978
CRTAM,0.641,0.641,-1.979,0.11271519,0.194894684
WDR11-AS1,0.641,0.641,-1.182,0.209841372,0.318751411
NFAM1,0.641,0.641,-2.387,0.266924896,0.383825157
LINC00466,0.641,0.641,-3.078,0.282081538,0.400845207
GCLM,-0.64,0.64,5.018,6.38036E-06,4.78996E-05
EVA1A,-0.64,0.64,4.133,7.17291E-06,5.29656E-05
MPDZ,-0.64,0.64,4.081,8.60878E-05,0.000466463
FZD7,-0.64,0.64,0.775,0.009770099,0.026039704
GOLGA6L22,0.64,0.64,-1.834,0.096386051,0.172220771
SNORD116-30,-0.64,0.64,-2.963,0.413078216,0.536792945
MIR708,-0.64,0.64,-3.662,0.601861593,0.709341383
SPDYC,-0.64,0.64,-3.316,0.687558457,0.781709792
IL27RA,-0.639,0.639,2.747,9.97955E-06,7.07629E-05
TTI2,0.639,0.639,4.507,1.17535E-05,8.19213E-05
C22orf29,-0.639,0.639,4.818,1.61458E-05,0.000108401
RPS6KB1,0.639,0.639,4.353,0.000187265,0.000917242
CAMTA2,0.639,0.639,3.613,0.004441768,0.01347508
KDM6B,0.639,0.639,2.442,0.019445703,0.046548823
LOC101928775,0.639,0.639,-3.259,0.306470464,0.427932312
SOD1,-0.638,0.638,6.753,4.29381E-07,4.33856E-06
PKM,-0.638,0.638,12.033,2.14769E-05,0.000139532
CBR1,-0.638,0.638,6.323,9.30803E-05,0.000498942
PRKACA,0.638,0.638,3.966,0.000806935,0.0031931
MRPL30,-0.638,0.638,5.259,0.001337001,0.004906482
ZBTB10,-0.638,0.638,3.17,0.00159635,0.005693801
ELF3,0.638,0.638,3.408,0.005025922,0.0149607
UST,-0.638,0.638,2.899,0.005094696,0.015121392
ARL10,0.638,0.638,2.941,0.010748565,0.028222827
SNORA14B,0.638,0.638,-1.256,0.030651861,0.068092198
CACNG4,-0.638,0.638,-1.167,0.1383716,0.229656016
PAH,0.638,0.638,-3.512,0.52824008,0.644315394
HARS2,-0.637,0.637,5.256,1.61613E-09,2.61135E-08
TADA1,-0.637,0.637,3.614,6.98052E-07,6.66126E-06
APEH,-0.637,0.637,7.281,8.14754E-06,5.92481E-05
LRRC45,-0.637,0.637,3.183,3.20321E-05,0.000197778
FBXL19-AS1,0.637,0.637,1.28,3.99803E-05,0.000240117
ZADH2,-0.637,0.637,4.434,0.000102057,0.000540236
CDK20,-0.637,0.637,0.709,0.000957553,0.003694215
PLIN4,-0.637,0.637,1.498,0.006340199,0.01815783
VSIG1,0.637,0.637,0.739,0.018946294,0.045575832
38046,0.637,0.637,1.184,0.024648653,0.056634744
LOC440386,0.637,0.637,-0.33,0.05186285,0.104534386
PCDHA11,0.637,0.637,-0.885,0.209508604,0.3183499
KDR,0.637,0.637,-1.618,0.272937644,0.391022785
TCF15,0.637,0.637,-3.561,0.61434833,0.720133555
AGPAT3,0.636,0.636,5.327,5.54557E-08,6.78993E-07
SLC25A3,-0.636,0.636,9.329,2.93645E-07,3.0791E-06
SAMM50,-0.636,0.636,6.091,3.68123E-06,2.95181E-05
IDH2,-0.636,0.636,6.051,6.02631E-05,0.000342802
CLTCL1,-0.636,0.636,4.948,0.000189712,0.000926399
RPL28,0.636,0.636,8.651,0.000394128,0.001737161
ZNF569,0.636,0.636,1.332,0.000565123,0.002366551
QSER1,0.636,0.636,4.39,0.001616983,0.005752797
ATP2B1,-0.636,0.636,4.202,0.002025133,0.006980039
WASHC2C,-0.635,0.635,5.063,1.81894E-05,0.000120364
LARP1,0.635,0.635,7.005,2.02452E-05,0.000132409
FAM222B,0.635,0.635,3.095,0.00115954,0.004344557
HIST1H1D,-0.635,0.635,8.466,0.033047447,0.072347983
CYP51A1-AS1,0.635,0.635,-1.211,0.053773537,0.107605346
MEIG1,0.635,0.635,-2.027,0.099497455,0.176462447
LINC01473,-0.635,0.635,-1.435,0.099778501,0.176835398
LOC105378668,-0.635,0.635,-2.34,0.314216932,0.436877495
NOP53,-0.634,0.634,6.211,3.99472E-06,3.17152E-05
AARS,-0.634,0.634,6.776,6.73327E-06,5.01639E-05
ERVK3-1,0.634,0.634,5.133,1.14509E-05,8.01101E-05
CENPI,-0.634,0.634,3.663,6.70068E-05,0.000374905
CEACAM6,0.634,0.634,2.925,0.000662489,0.002704793
GPANK1,-0.634,0.634,2.255,0.000674558,0.002745098
SPRR2E,0.634,0.634,1.321,0.011981461,0.030968401
GPC6,-0.634,0.634,0.938,0.020419187,0.048471594
HIC1,0.634,0.634,1.917,0.044383859,0.09231383
NLRP3,0.634,0.634,-0.56,0.128279007,0.215994268
RNF187,-0.633,0.633,6.796,1.99514E-09,3.1736E-08
RPL4,-0.633,0.633,11.143,5.90893E-06,4.48544E-05
ZNF57,-0.633,0.633,2.796,6.33502E-06,4.76073E-05
CCDC117,0.633,0.633,4.001,3.3185E-05,0.000203766
CDIP1,-0.633,0.633,4.8,0.000807586,0.003195115
LOC105369187,0.633,0.633,-0.653,0.006320671,0.018117056
CYP1B1,0.633,0.633,3.335,0.007402216,0.0206257
STOX2,-0.633,0.633,1.499,0.022583769,0.052725153
SNORD116-9,0.633,0.633,-1.332,0.070419193,0.13387444
SNORD116-3,0.633,0.633,-1.332,0.070412406,0.13387444
HSD17B4,-0.632,0.632,6.401,1.31747E-05,9.05087E-05
QRICH2,0.632,0.632,2.607,4.07506E-05,0.000243637
BICD1,0.632,0.632,2.532,9.97157E-05,0.00052947
LARS,-0.632,0.632,6.842,0.000365334,0.001624894
TCEA1,-0.632,0.632,6.146,0.000687574,0.002788479
MAP7D3,-0.632,0.632,3.692,0.002277457,0.007687912
LINC01483,0.632,0.632,-0.571,0.023612541,0.054695496
LONRF2,0.632,0.632,-2.227,0.268483122,0.385614457
MIR4256,0.632,0.632,-3.538,0.511410922,0.628422993
ANO1,0.631,0.631,4.556,6.24989E-08,7.55767E-07
SETD5,0.631,0.631,5.234,1.86353E-07,2.03568E-06
RPUSD3,-0.631,0.631,4.767,1.58201E-06,1.38561E-05
DIRC2,-0.631,0.631,4.008,7.1049E-06,5.26015E-05
GLTP,-0.631,0.631,6.659,8.36505E-05,0.0004549
NHLH2,-0.631,0.631,1.32,0.003441608,0.010890357
LCA5L,0.631,0.631,-0.732,0.020322292,0.048272151
PSG1,-0.631,0.631,-0.998,0.108100238,0.188538349
ALG12,-0.63,0.63,4.303,1.44505E-05,9.81636E-05
NAP1L1,-0.63,0.63,7.45,0.001231572,0.004582386
KIAA1958,0.63,0.63,1.741,0.01016731,0.026941934
CCDC110,-0.63,0.63,-2.971,0.642808802,0.744531417
TWF2,-0.629,0.629,6.776,1.82651E-06,1.57523E-05
TK2,-0.629,0.629,4.168,4.88629E-06,3.79497E-05
C1orf115,-0.629,0.629,1.868,0.000372621,0.001651752
PTEN,-0.629,0.629,5.273,0.002266764,0.007658714
SNORA23,0.629,0.629,2.097,0.014157285,0.035653975
HEY1,-0.629,0.629,0.256,0.016347522,0.040268148
WISP3,0.629,0.629,-1.827,0.088119692,0.159863535
MYO9A,0.628,0.628,4.925,1.26545E-07,1.42598E-06
KIAA1217,0.628,0.628,4.971,1.86599E-06,1.60374E-05
GRINA,0.628,0.628,6.482,1.14983E-05,8.04151E-05
CHKA,-0.628,0.628,2.33,0.000112334,0.000586902
TRAF3IP2-AS1,0.628,0.628,0.491,0.001234188,0.004589839
CASD1,-0.628,0.628,2.464,0.005921902,0.017159936
MZF1-AS1,0.628,0.628,0.48,0.012524947,0.032166389
EPPK1,0.628,0.628,5.514,0.02031149,0.048251588
ZBED9,-0.628,0.628,1.651,0.033727969,0.073622815
PTP4A3,-0.628,0.628,0.212,0.05553309,0.110340128
PGLYRP1,0.628,0.628,-3.209,0.343012946,0.466165992
LOC101929297,0.628,0.628,-3.732,0.578418368,0.689619567
DES,0.628,0.628,-3.568,0.669802267,0.767687304
BCAT2,-0.627,0.627,5.379,6.33664E-07,6.12741E-06
SLC38A5,-0.627,0.627,7.243,1.26852E-06,1.14056E-05
KLHL22,-0.627,0.627,3.931,1.29963E-05,8.93649E-05
ZC3H10,0.627,0.627,3.107,5.67503E-05,0.000325122
SLC25A23,0.627,0.627,3.728,9.28646E-05,0.000497905
ECHDC3,-0.627,0.627,3.825,0.000344754,0.001547746
MRC2,-0.627,0.627,5.643,0.000733942,0.002949405
RAB43,0.627,0.627,5.221,0.000876153,0.003427801
IFI30,0.627,0.627,4.207,0.00214297,0.007318505
LOC105371795,0.627,0.627,0.242,0.018634573,0.044951611
TRPM2,0.627,0.627,-1.041,0.043548198,0.09088671
PCDHA12,0.627,0.627,-1.988,0.133404443,0.222822867
CLUL1,0.627,0.627,-2.294,0.256300995,0.372517331
ATP1A2,0.627,0.627,-1.121,0.437695901,0.560789302
MIR199A1,0.627,0.627,-3.55,0.582137063,0.692773906
HADHB,-0.626,0.626,6.882,1.58883E-08,2.15667E-07
PGGHG,0.626,0.626,2.13,0.00022889,0.001084972
GRN,-0.626,0.626,7.666,0.000570982,0.002389306
ADNP2,0.626,0.626,5.041,0.001856059,0.006473341
SNORD17,0.626,0.626,4.975,0.056170623,0.111390376
NOTCH4,0.626,0.626,-1.421,0.0728003,0.137367814
GLIS2,0.626,0.626,0.773,0.214898043,0.324694693
CCDC160,-0.626,0.626,-2.776,0.264558322,0.381072415
SEMA6B,-0.626,0.626,-1.75,0.320465369,0.443507505
ERP29,-0.625,0.625,6.165,1.06199E-06,9.72572E-06
SMIM3,-0.625,0.625,3.981,3.25857E-06,2.63639E-05
ANKRD42,0.625,0.625,2.624,2.21499E-05,0.00014349
WDR66,-0.625,0.625,7.035,2.9021E-05,0.00018172
PDXDC1,-0.625,0.625,5.036,9.08924E-05,0.000488378
CDCA7L,-0.625,0.625,4.97,0.000423122,0.001847421
KRT9,0.625,0.625,-0.5,0.014815394,0.037054136
PRKAR2A-AS1,0.625,0.625,0.002,0.024442187,0.056235032
ANKHD1-EIF4EBP3,0.625,0.625,3.358,0.026844427,0.060939328
SMIM10L2A,-0.625,0.625,1.789,0.047743463,0.097907183
TRIM58,0.625,0.625,-2.291,0.148910151,0.24337212
LOC105371184,0.625,0.625,-2.282,0.252019141,0.367577623
ERI3-IT1,0.625,0.625,-2.99,0.397903571,0.521997499
IFITM4P,-0.625,0.625,-3.208,0.699787224,0.791651455
ACAA2,-0.624,0.624,4.701,2.64337E-07,2.80447E-06
LAMC2,-0.624,0.624,12.989,5.3163E-05,0.000307146
GNB1L,-0.624,0.624,2.668,0.000760499,0.003039293
LRP2BP,0.624,0.624,-0.019,0.010324656,0.027280029
FOXD2,0.624,0.624,-1.072,0.036271763,0.078063684
TBX2-AS1,0.624,0.624,-3.35,0.604972599,0.712037871
BICD2,-0.623,0.623,7.103,1.80231E-05,0.000119414
SNX33,-0.623,0.623,5.978,2.93649E-05,0.000183567
HSF2BP,-0.623,0.623,4.205,4.24948E-05,0.000252922
PPARA,0.623,0.623,3.685,4.44821E-05,0.000263082
TSPYL5,-0.623,0.623,0.747,0.000664801,0.002712262
RDH10,-0.623,0.623,3.182,0.003998287,0.012381864
THNSL1,-0.623,0.623,2.018,0.006046371,0.017456339
ZNF396,0.623,0.623,-0.474,0.030361664,0.06757318
CSGALNACT1,0.623,0.623,-0.861,0.032027076,0.07058824
SNORA75,0.623,0.623,-1.523,0.088742255,0.160772518
UBE2F-SCLY,0.623,0.623,-0.558,0.104861187,0.184160055
TCP10L,0.623,0.623,-1.865,0.116168793,0.199775861
ABLIM2,0.623,0.623,-1.35,0.118907187,0.203442158
DPPA2,0.623,0.623,-3.35,0.44680596,0.56900233
KCNC3,0.623,0.623,-3.46,0.589203068,0.698780156
HTRA2,-0.622,0.622,4.973,3.00922E-07,3.14952E-06
TP53BP1,-0.622,0.622,5.894,3.21423E-07,3.33615E-06
IAH1,-0.622,0.622,5.162,9.28449E-06,6.63152E-05
H2AFZ,-0.622,0.622,7.857,0.00011291,0.000589365
CCT8,-0.622,0.622,7.501,0.000215,0.001030205
NIPAL4,0.622,0.622,4.433,0.000333828,0.001503193
MIR29B2,0.622,0.622,2.441,0.00272107,0.008917906
FCMR,0.622,0.622,0.099,0.005100011,0.015133171
HCN3,0.622,0.622,-0.668,0.021534755,0.050675843
GALNT15,-0.622,0.622,-0.755,0.054186234,0.10829543
TSPAN1,-0.621,0.621,6.356,2.2908E-07,2.45707E-06
AJUBA,-0.621,0.621,7.29,5.52801E-07,5.42478E-06
PSMB1,-0.621,0.621,7.221,2.63377E-06,2.1731E-05
OXSM,-0.621,0.621,3.124,1.5347E-05,0.000103628
SNTA1,-0.621,0.621,3.44,0.000107862,0.000567093
XRN2,-0.621,0.621,6.966,0.000317786,0.001441056
SCD5,-0.621,0.621,5.156,0.000493013,0.00210255
CBLB,-0.621,0.621,4.237,0.002151705,0.007346107
SYCE3,0.621,0.621,-2.135,0.078779456,0.146474955
SNORA46,0.621,0.621,-2.787,0.265682136,0.382299443
SYN1,0.621,0.621,-1.93,0.300643422,0.421785918
TCF20,0.62,0.62,3.534,2.02677E-06,1.7282E-05
NIPBL,0.62,0.62,4.539,9.54657E-05,0.000509906
ZBTB14,-0.62,0.62,3.055,0.000291131,0.001336898
HYKK,0.62,0.62,1.813,0.000463329,0.001994104
RASSF4,-0.62,0.62,2.308,0.000504235,0.002143501
USP15,0.62,0.62,5.271,0.00067279,0.002739795
MMADHC,-0.62,0.62,6.811,0.001385362,0.005061658
GTF2IRD1,-0.62,0.62,4.244,0.001651826,0.005864699
TRIM45,-0.62,0.62,1.304,0.005191543,0.015337999
BEGAIN,0.62,0.62,-0.479,0.043916672,0.091485948
BRSK1,-0.62,0.62,0.24,0.07409295,0.139292765
RRAD,-0.62,0.62,3.058,0.078766977,0.146463859
C15orf59,0.62,0.62,-1.056,0.215328793,0.325176259
ARHGAP10,-0.619,0.619,4.407,1.34453E-05,9.21707E-05
ZNF611,0.619,0.619,2.252,3.86984E-05,0.000233352
NUMA1,-0.619,0.619,7.029,0.000118138,0.000613377
TRAPPC1,0.619,0.619,5.008,0.001255096,0.004650268
RBM27,-0.619,0.619,5.062,0.003351364,0.010642225
SNORD118,0.619,0.619,-0.714,0.01377247,0.034844813
CCDC158,0.619,0.619,-1.619,0.074175622,0.139436531
RNVU1-3,0.619,0.619,-0.636,0.104248997,0.183356932
SLED1,0.619,0.619,-3.666,0.52431132,0.640600261
MIR571,-0.619,0.619,-3.663,0.59506273,0.703651276
TRIT1,-0.618,0.618,4.498,4.84496E-07,4.83036E-06
PHF8,0.618,0.618,4.077,2.05151E-06,1.74584E-05
MFSD10,-0.618,0.618,5.725,6.38778E-06,4.79393E-05
STN1,-0.618,0.618,5.004,8.22673E-06,5.97275E-05
GLB1,-0.618,0.618,6.516,1.16713E-05,8.13987E-05
CEBPG,-0.618,0.618,5.056,0.001566389,0.005612747
GDPD3,-0.618,0.618,1.091,0.01160978,0.030163701
LOC105376554,0.618,0.618,-0.84,0.016691444,0.040913683
MT1A,0.618,0.618,-1.162,0.044668963,0.092820982
JARID2-AS1,0.618,0.618,-2.364,0.172112687,0.27294331
PROZ,0.618,0.618,-2.733,0.178334226,0.280547468
NOSTRIN,-0.618,0.618,-1.048,0.234139877,0.347104806
EPHA3,0.618,0.618,-3.127,0.314033622,0.436703613
GPR12,0.618,0.618,-2.921,0.476110081,0.596350612
MIR3178,0.618,0.618,-3.636,0.738416475,0.821820926
WDR6,-0.617,0.617,6.731,3.35851E-07,3.47038E-06
NLE1,-0.617,0.617,4.996,2.00501E-06,1.71145E-05
SERPINB6,-0.617,0.617,6.768,3.06046E-06,2.48864E-05
RTCB,-0.617,0.617,7.075,9.82111E-06,6.97714E-05
LMNB1,-0.617,0.617,4.679,2.42772E-05,0.000155036
ARL6IP1,-0.617,0.617,7.002,5.5917E-05,0.00032092
CLTC,-0.617,0.617,8.837,6.73307E-05,0.00037653
WDR13,-0.617,0.617,5.768,8.63304E-05,0.000467665
ZNF667,-0.617,0.617,1.693,0.003219675,0.010301127
OPLAH,-0.617,0.617,2.835,0.003738897,0.01168639
GPR85,0.617,0.617,0.664,0.010101312,0.026798621
LOC105376108,0.617,0.617,-1.037,0.012906807,0.033003627
HIST3H2A,0.617,0.617,4.16,0.025932492,0.059113572
TSGA13,0.617,0.617,-2.546,0.215923162,0.325876921
MIR133A2,0.617,0.617,-3.723,0.581278576,0.692155103
RIMBP3C,-0.617,0.617,-2.809,0.76278379,0.840797596
FAM228B,0.616,0.616,2.399,5.11752E-05,0.000297425
MGST1,-0.616,0.616,6.534,7.51148E-05,0.000413582
JADE2,0.616,0.616,5.334,0.000176084,0.000868906
CEP78,-0.616,0.616,4.013,0.003422734,0.010836731
PLPP3,-0.616,0.616,1.066,0.013479272,0.034210764
PCDHGA9,0.616,0.616,-0.833,0.025596685,0.058484421
GHRL,0.616,0.616,-0.812,0.052074255,0.10485713
POC1A,-0.615,0.615,3.784,6.0021E-06,4.54543E-05
IL31RA,-0.615,0.615,3.019,0.000611591,0.002536586
AGMO,0.615,0.615,-0.075,0.0055413,0.016241194
LINC01144,0.615,0.615,-0.958,0.062110524,0.120857333
SHANK3,0.615,0.615,2.34,0.069307749,0.132163619
IGFBP7-AS1,0.615,0.615,-2.173,0.110195596,0.191480172
LOC641367,0.615,0.615,-2.99,0.329222889,0.452369523
NPIPB11,0.615,0.615,-0.96,0.337631435,0.460605704
TALDO1,-0.614,0.614,7.613,1.77322E-07,1.94458E-06
TSPAN3,-0.614,0.614,6.087,4.87669E-06,3.78882E-05
FHL3,0.614,0.614,3.563,9.93303E-05,0.000527915
PPP2R5D,-0.614,0.614,6.37,0.00011204,0.000585774
FANK1,-0.614,0.614,1.902,0.000511388,0.002171856
LOC100131496,0.614,0.614,1.582,0.001544456,0.005551238
SPDYE3,0.614,0.614,0.518,0.009366544,0.025157907
GSDMB,0.614,0.614,1.023,0.017128608,0.041825713
ZNF214,-0.614,0.614,0.337,0.026216612,0.059676554
LOC157273,0.614,0.614,-1.398,0.053083215,0.106516877
ELFN1,-0.614,0.614,-2.554,0.286770643,0.40616671
SLC10A2,0.614,0.614,-3.006,0.326179183,0.44939799
MIR4727,0.614,0.614,-3.683,0.634243122,0.7373441
KCNK17,0.614,0.614,-3.255,0.634210386,0.7373441
MICU1,-0.613,0.613,5.247,2.18908E-06,1.84684E-05
TMEM256,-0.613,0.613,4.909,5.93419E-06,4.50006E-05
C21orf33,-0.613,0.613,4.29,6.93621E-06,5.14203E-05
YWHAQ,-0.613,0.613,9.213,2.03833E-05,0.000133175
ZNF592,0.613,0.613,4.242,0.00039448,0.001738372
CEP44,-0.613,0.613,3.291,0.003859338,0.012009439
CDKL3,0.613,0.613,0.155,0.006170673,0.017759537
SNORA74B,0.613,0.613,-0.399,0.049124953,0.100164848
SMOC2,-0.613,0.613,-1.086,0.207127208,0.315352681
LRRN1,-0.613,0.613,-1.729,0.221403358,0.332208428
PTGER1,0.613,0.613,-2.991,0.367862275,0.491648838
LRRC4C,-0.613,0.613,-2.381,0.654123837,0.754321581
TGFB3-AS1,0.613,0.613,-3.637,0.742666563,0.825788824
DYNC1I2,-0.612,0.612,7.1,3.35795E-06,2.7129E-05
WIPI1,-0.612,0.612,5.359,7.18926E-06,5.30372E-05
GSTA4,-0.612,0.612,3.444,3.07553E-05,0.000191249
PBLD,0.612,0.612,1.339,3.29163E-05,0.000202504
NEK7,0.612,0.612,5.166,0.000180482,0.000888397
YPEL2,-0.612,0.612,1.875,0.012302036,0.03165874
CPAMD8,0.612,0.612,0.672,0.03445911,0.074826637
HDAC11-AS1,-0.612,0.612,-1.523,0.15639088,0.25300609
THAP11,-0.611,0.611,4.044,9.96501E-07,9.20842E-06
SLC11A2,0.611,0.611,4.6,3.1189E-05,0.000193785
GJA1,-0.611,0.611,6.792,0.000522949,0.002215514
FLNB-AS1,0.611,0.611,2.437,0.000759052,0.003035129
HSD11B2,0.611,0.611,-0.908,0.030765431,0.068296099
SNORA71D,0.611,0.611,1.162,0.059609991,0.116789888
LOC105375700,0.611,0.611,-2.011,0.081903702,0.151035343
ATG9B,0.611,0.611,-2.069,0.264148639,0.380703673
GRIN1,-0.611,0.611,-1.144,0.393542839,0.517877693
LINC01502,0.611,0.611,-3.366,0.530932048,0.646827192
RETSAT,-0.61,0.61,6.325,3.999E-07,4.06993E-06
ANAPC5,-0.61,0.61,7.014,6.96151E-07,6.64593E-06
NSMCE1,-0.61,0.61,5.586,5.25609E-06,4.04309E-05
PLEKHO1,-0.61,0.61,3.523,3.18624E-05,0.000196935
ACO1,-0.61,0.61,6.435,0.000124842,0.000643875
AFG3L2,-0.61,0.61,5.94,0.000323889,0.001464891
POLR1E,-0.61,0.61,5.201,0.000692616,0.002806905
SCARNA6,0.61,0.61,2.338,0.011476043,0.029864824
URAHP,-0.61,0.61,-1.106,0.066473269,0.127678631
ACOX1,-0.609,0.609,5.896,4.21312E-07,4.26241E-06
TUBB2A,-0.609,0.609,6.49,0.000105931,0.000558249
ZSCAN18,-0.609,0.609,3.469,0.000132459,0.000677261
SSX2IP,-0.609,0.609,4.015,0.0051529,0.01524987
TUBA3D,0.609,0.609,-1.373,0.065849335,0.126729121
SNORD114-21,-0.609,0.609,-2.743,0.342585577,0.465728279
PI4K2A,-0.608,0.608,6.698,1.00491E-06,9.27087E-06
NISCH,-0.608,0.608,5.712,2.77542E-06,2.27495E-05
TES,-0.608,0.608,7.041,3.70719E-06,2.96839E-05
BRIP1,0.608,0.608,3.645,2.34342E-05,0.000150552
MT2A,0.608,0.608,10.105,0.000215567,0.001032042
MSH6,-0.608,0.608,5.919,0.000531887,0.002248305
MPZL3,-0.608,0.608,4.646,0.000707461,0.002855633
CLCF1,0.608,0.608,2.567,0.008648465,0.023521316
