GENE_SYMBOL,Log_FoldChange,absLogFC,logCPM,PValue,FDR_adjusted_P.value
ANPEP,-0.817,0.817,4.328,0.001587796,0.003928901
MMP23B,0.817,0.817,-0.24,0.003176661,0.007246907
MFAP3L,0.817,0.817,0.253,0.004110362,0.00907533
PDF,-0.817,0.817,1.947,0.004951473,0.010672358
FAM9C,-0.817,0.817,0.044,0.017812128,0.032639958
LINC02166,0.817,0.817,-2.445,0.099682915,0.147701819
TTC1,-0.816,0.816,5.275,4.5817E-05,0.000172421
MINPP1,-0.816,0.816,3.649,0.00017426,0.000564524
NRBP1,-0.816,0.816,7.256,0.000184502,0.000592742
DDX39B,-0.816,0.816,3.365,0.000252033,0.000778614
ZFYVE9,-0.815,0.815,5.234,7.11459E-06,3.26948E-05
VPS13D,-0.815,0.815,6.435,7.16759E-06,3.28916E-05
EZR,-0.815,0.815,8.903,6.39808E-05,0.000232211
CCDC146,0.815,0.815,1.146,0.000430555,0.001248559
ZBTB45,-0.815,0.815,3.108,0.003571326,0.008018051
GNRHR2,0.815,0.815,-0.291,0.004477423,0.009776182
WAS,0.815,0.815,-1.349,0.010297476,0.020187652
GCLM,-0.814,0.814,4.997,1.03757E-06,5.75182E-06
CDS1,-0.814,0.814,4.604,4.12399E-06,1.99899E-05
KIAA1671,-0.814,0.814,5.747,7.99309E-05,0.000282113
SH3TC2,-0.814,0.814,3.619,0.000220619,0.000693677
TUFM,-0.814,0.814,7.675,0.000509462,0.001447545
CEBPG,-0.814,0.814,5.032,0.000560389,0.00157486
CYYR1-AS1,0.814,0.814,0.317,0.00143219,0.003588952
LOC105372038,0.814,0.814,-2.181,0.050478398,0.081275674
AJAP1,0.814,0.814,-0.189,0.056125506,0.089264067
MIR1285-1,0.814,0.814,-2.934,0.237081952,0.31095213
CDR2,-0.813,0.813,4.038,1.47068E-06,7.86597E-06
AP3M2,-0.813,0.813,3.63,2.77095E-06,1.39437E-05
DDX19B,-0.813,0.813,4.568,5.95763E-06,2.77922E-05
NOL3,-0.813,0.813,3.909,0.000305588,0.000924642
LINC01806,0.813,0.813,1.272,0.000699315,0.001913758
NOC3L,-0.813,0.813,4.526,0.000835549,0.002235797
SNORA5A,0.813,0.813,1.302,0.001137113,0.002930565
FAM109A,-0.813,0.813,3.074,0.003462121,0.007810035
COMMD5,-0.813,0.813,4.236,0.004924819,0.010622069
LOC100128386,0.813,0.813,-3.177,0.338770582,0.41893243
LINC01859,0.813,0.813,-3.159,0.371629963,0.452593703
LOC105375929,-0.813,0.813,-3.505,0.692982532,0.758004025
DYNC1LI1,-0.812,0.812,5.151,3.55613E-07,2.18174E-06
SLC4A7,-0.812,0.812,6.189,6.08953E-07,3.55043E-06
PXN-AS1,0.812,0.812,0.985,2.99768E-05,0.000118211
CAD,-0.812,0.812,6.04,0.000174018,0.000563882
GRWD1,-0.812,0.812,5.958,0.005059368,0.010884199
VCPIP1,-0.811,0.811,4.177,7.00888E-06,3.22286E-05
SGTB,-0.811,0.811,3.549,9.08639E-05,0.000316445
ARID4A,0.811,0.811,2.33,0.000149259,0.000492479
TMED7,-0.811,0.811,6.365,0.000205508,0.000651407
TCF7,0.811,0.811,1.432,0.001112274,0.002875056
PICSAR,0.811,0.811,-1.457,0.027500657,0.047733082
ND4L,-0.811,0.811,4.068,0.065431988,0.102114007
SCRT1,0.811,0.811,-3.13,0.317536565,0.39682873
PAQR9,0.811,0.811,-3.611,0.412827465,0.494811881
WDR70,-0.81,0.81,4.69,9.24836E-07,5.18526E-06
ABCB10,-0.81,0.81,3.852,3.14128E-05,0.000123209
MAN2B2,-0.81,0.81,4.578,0.000121644,0.000410371
GBA,-0.81,0.81,4.881,0.000325105,0.0009751
CWC15,-0.81,0.81,4.745,0.000421954,0.001227389
GCH1,0.81,0.81,2.88,0.000505677,0.001438051
LOC101928707,0.81,0.81,-0.319,0.000669808,0.001841012
AZI2,0.81,0.81,4.716,0.000977321,0.002568131
GBF1,-0.81,0.81,6.595,0.001728886,0.004238662
JMJD4,-0.81,0.81,4.919,0.00446867,0.009760833
PCDHB16,0.81,0.81,-1.292,0.011890713,0.022922258
APBA2,-0.81,0.81,1.55,0.013194281,0.025089294
OSTN-AS1,0.81,0.81,-2.922,0.147030588,0.206254403
ODF2,-0.809,0.809,5.31,1.88757E-08,1.49703E-07
TIMM44,-0.809,0.809,4.687,1.6969E-06,8.94702E-06
STX6,-0.809,0.809,5.91,2.06391E-06,1.06686E-05
SEPHS2,-0.809,0.809,3.655,4.3678E-05,0.000165443
MCM3AP,-0.809,0.809,5.916,9.35658E-05,0.000324856
TMEM51,-0.809,0.809,3.416,0.000500587,0.001425493
MMP15,-0.809,0.809,3.104,0.000779609,0.002108024
RXRB,-0.809,0.809,4.009,0.006335842,0.013216057
ZNF528,0.808,0.808,3.293,1.32845E-05,5.70549E-05
JMJD1C,0.808,0.808,4.858,3.62036E-05,0.000139773
HIST1H3E,-0.808,0.808,7.121,0.030781872,0.05257825
TMLHE-AS1,-0.808,0.808,-1.066,0.169405066,0.233079885
LOC102546229,0.808,0.808,-3.44,0.5007897,0.581891222
ZFAND2A,0.807,0.807,3.969,1.57749E-07,1.03871E-06
KHDRBS1,-0.807,0.807,6.005,2.23412E-07,1.43236E-06
MAT2B,-0.807,0.807,5.293,1.88873E-06,9.85068E-06
PIGK,-0.807,0.807,3.957,0.000247632,0.00076774
C16orf59,-0.807,0.807,2.288,0.000336262,0.001003119
NELFB,-0.807,0.807,5.818,0.00181132,0.004423526
IGFBP6,-0.807,0.807,5.38,0.007645449,0.015608569
LOC105376064,-0.807,0.807,-3.049,0.401727956,0.483503716
RIC1,-0.806,0.806,4.867,1.13163E-08,9.37544E-08
FANCI,-0.806,0.806,5.269,9.8524E-07,5.49401E-06
TARBP1,-0.806,0.806,3.939,1.03598E-06,5.74445E-06
PDXDC1,-0.806,0.806,5.015,1.06068E-06,5.87133E-06
ELAVL1,-0.806,0.806,6.317,5.80193E-06,2.71491E-05
TRIOBP,-0.806,0.806,5.351,2.33742E-05,9.45784E-05
TUBG2,-0.806,0.806,2.797,0.000142537,0.000472985
FBLN1,-0.806,0.806,4.833,0.000161811,0.00052881
FAM168B,-0.806,0.806,6.231,0.000214488,0.000676183
RAI1,-0.806,0.806,4.357,0.000247904,0.000768374
ANXA11,-0.806,0.806,7.537,0.000789607,0.002130988
CYB561D2,-0.806,0.806,3.451,0.002927047,0.006750207
LOC102724360,0.806,0.806,-0.506,0.006521578,0.013556049
EHD2,-0.806,0.806,5.917,0.009559853,0.018949877
GAREM2,0.806,0.806,0.328,0.010801612,0.021052124
PPAN,-0.806,0.806,4.807,0.015959395,0.029655149
LOC100506178,0.806,0.806,-1.676,0.050286701,0.08099005
SNORA69,0.806,0.806,-2.382,0.134706308,0.191588131
FAM66E,0.806,0.806,-2.777,0.208524635,0.27869315
HMGB1P50,0.806,0.806,-3.036,0.339010024,0.419196446
KDM2A,0.805,0.805,6.266,4.17339E-09,3.7379E-08
EED,-0.805,0.805,3.724,5.72281E-07,3.36258E-06
ARFGEF1,-0.805,0.805,5.356,9.60928E-07,5.37299E-06
RBBP9,-0.805,0.805,4.009,1.29775E-05,5.59166E-05
NRAV,-0.805,0.805,3.602,2.22542E-05,9.0434E-05
RFX7,0.805,0.805,3.522,0.000403331,0.001179886
FAM92A,-0.805,0.805,3.682,0.000705581,0.001928964
PPID,-0.805,0.805,4.237,0.001240398,0.003169346
C14orf80,-0.805,0.805,3.203,0.004394653,0.009621428
LGI3,0.805,0.805,-1.328,0.063126988,0.098947437
THOC7-AS1,-0.805,0.805,-2.67,0.356380973,0.436675616
POLE,0.804,0.804,5.143,5.72959E-07,3.36569E-06
RANBP3,-0.804,0.804,5.388,2.59335E-05,0.000103839
ZNF418,0.804,0.804,2.313,3.30397E-05,0.000128765
ZNF621,0.804,0.804,3.536,4.10568E-05,0.000156905
PLA2G4F,0.804,0.804,1.276,0.001958378,0.004743011
SMN1,0.804,0.804,0.488,0.036531334,0.061221608
CGB8,0.804,0.804,-1.3,0.069169973,0.107166147
PMS2CL,0.803,0.803,3.317,1.99474E-07,1.29263E-06
EXOSC7,-0.803,0.803,5.202,1.65641E-06,8.75802E-06
SETD9,0.803,0.803,1.167,0.000405024,0.001184282
CYB5R3,-0.803,0.803,6.28,0.000996841,0.00261306
SP2,0.803,0.803,0.763,0.004851666,0.010482171
PCDHGA8,0.803,0.803,-0.435,0.006060082,0.012713431
DYRK1A,0.802,0.802,5.269,2.06842E-08,1.62623E-07
EXOC8,-0.802,0.802,4.05,1.27281E-05,5.49676E-05
SRPX2,-0.802,0.802,4.704,2.1715E-05,8.84386E-05
TOR2A,-0.802,0.802,2.393,0.000160176,0.000523921
EGFR-AS1,-0.802,0.802,0.762,0.000716325,0.00195417
SEC24D,-0.801,0.801,5.501,9.40166E-06,4.1863E-05
ZNF549,-0.801,0.801,2.932,2.07E-05,8.47723E-05
S1PR2,-0.801,0.801,2.649,0.000174491,0.000565031
AP3D1,-0.801,0.801,6.984,0.000250497,0.000774715
SSFA2,-0.801,0.801,6.43,0.000261342,0.0008031
CWC22,-0.801,0.801,3.261,0.00032683,0.000979236
ABCB8,-0.801,0.801,5.008,0.000658011,0.001812922
CDH3,-0.801,0.801,9.642,0.001497763,0.003729752
ARID5B,-0.801,0.801,3.574,0.001670494,0.004107507
IL18BP,0.801,0.801,0.45,0.002241901,0.005335291
AHCY,-0.801,0.801,8.53,0.002615666,0.006113027
ZDBF2,-0.801,0.801,1.879,0.003101436,0.00710248
SLC16A3,-0.801,0.801,7.922,0.004972523,0.010713847
AZGP1,0.801,0.801,-2.738,0.190063493,0.257468344
MEOX1,0.801,0.801,-2.713,0.234798924,0.308279065
PCDHB7,0.801,0.801,-2.777,0.242270597,0.316766988
LOC101928797,0.801,0.801,-3.397,0.41855071,0.50061211
GART,-0.8,0.8,7.043,7.87244E-08,5.51042E-07
SCLT1,0.8,0.8,3.415,2.61663E-07,1.64958E-06
MACF1,-0.8,0.8,7.836,1.14608E-05,5.00574E-05
GPSM2,-0.8,0.8,6.07,4.00599E-05,0.00015351
C1orf115,-0.8,0.8,1.849,7.95897E-05,0.000281027
RIOK2,-0.8,0.8,3.492,0.00012878,0.000431985
RAB40C,-0.8,0.8,3.35,0.001477706,0.003687916
MYC,-0.8,0.8,7.712,0.020858222,0.037363352
ZNF704,-0.8,0.8,2.081,0.021793062,0.038874993
LOC101928443,0.8,0.8,-1.791,0.117405016,0.170306821
SNAP25-AS1,0.8,0.8,-2.643,0.212527087,0.28314028
LINC01973,0.8,0.8,-3.219,0.261455104,0.337910508
OTULIN,-0.799,0.799,4.685,3.69213E-07,2.25662E-06
CSRNP2,0.799,0.799,4.362,8.12702E-07,4.61598E-06
TRAPPC2B,-0.799,0.799,2.472,2.38681E-05,9.64046E-05
FBXO30,-0.799,0.799,3.89,5.52634E-05,0.000203706
TACC2,-0.799,0.799,4.238,0.000225416,0.000706503
ROGDI,-0.799,0.799,4.454,0.000739527,0.002010203
EFHD2,-0.799,0.799,6.112,0.001080602,0.002803428
FLOT2,-0.799,0.799,6.412,0.002349842,0.00556469
MYBBP1A,-0.799,0.799,5.989,0.002534741,0.005950298
MYCL,-0.799,0.799,2.915,0.002745906,0.006389061
CAVIN3,-0.799,0.799,6.329,0.015124693,0.028280454
RGL3,0.799,0.799,-3.046,0.351996059,0.432284902
TMEM186,-0.798,0.798,2.306,6.94641E-07,4.00772E-06
GMPR2,-0.798,0.798,5.73,2.77139E-06,1.39437E-05
ADNP2,-0.798,0.798,4.724,5.78397E-05,0.000212338
C7orf49,-0.798,0.798,4.641,8.09322E-05,0.000284879
SLC26A11,0.798,0.798,0.61,0.000132781,0.000443731
UBALD2,-0.798,0.798,3.331,0.000468162,0.00134227
ELAVL2,0.798,0.798,3.644,0.000483361,0.00138118
CLDN1,-0.798,0.798,5.532,0.000715267,0.001951991
TMEM102,-0.798,0.798,4.596,0.009803234,0.01935036
LINC00970,0.798,0.798,-1.158,0.016281907,0.030185094
PIGY,-0.798,0.798,-1.119,0.150183779,0.210144105
FAM225A,0.798,0.798,-2.123,0.161046127,0.223178698
KIAA1107,-0.798,0.798,-0.378,0.413009874,0.49500432
NDUFS1,-0.797,0.797,5.756,4.97437E-08,3.63231E-07
SLC25A12,-0.797,0.797,4.195,6.23465E-08,4.45351E-07
ZNF589,-0.797,0.797,3.31,5.28521E-05,0.000195741
RBM38,-0.797,0.797,3.524,0.000303179,0.000918212
TFB2M,-0.797,0.797,3.336,0.000744689,0.002023506
ENKD1,-0.797,0.797,2.634,0.001363952,0.003443478
POLR1C,-0.797,0.797,4.845,0.007368105,0.01511319
GREB1,0.797,0.797,-0.757,0.054910755,0.087522589
RFC5,-0.796,0.796,4.705,9.17668E-06,4.10107E-05
VAT1,-0.796,0.796,7.815,0.00170238,0.004178201
COL16A1,-0.796,0.796,6.263,0.002417099,0.005704118
TONSL,-0.796,0.796,3.574,0.004131757,0.009119013
HIST2H2BF,-0.796,0.796,7.786,0.036039192,0.06049458
IGF2-AS,0.796,0.796,-3.506,0.35868016,0.43902872
PLGLA,-0.796,0.796,-3.37,0.517003523,0.596682514
PITRM1,-0.795,0.795,6.952,5.164E-07,3.05883E-06
LRPPRC,-0.795,0.795,6.522,5.77958E-07,3.3889E-06
STYK1,0.795,0.795,2.371,2.9097E-06,1.45556E-05
PAFAH1B1,-0.795,0.795,6.822,1.25107E-05,5.41216E-05
NUP37,-0.795,0.795,4.84,1.60454E-05,6.74795E-05
FAM83H-AS1,-0.795,0.795,3.683,9.66752E-05,0.000334268
RGS3,-0.795,0.795,5.139,0.000301918,0.000914761
METTL1,-0.795,0.795,3.145,0.006039566,0.012676283
DHCR7,-0.795,0.795,6.901,0.006803756,0.014074145
SPTY2D1-AS1,0.795,0.795,-0.741,0.021225333,0.037951928
ITGB2-AS1,0.795,0.795,-1.033,0.039885301,0.066220183
GABRA1,0.795,0.795,-1.733,0.197138808,0.265702198
ERLIN1,-0.794,0.794,5.08,3.92405E-06,1.91148E-05
RIPK1,-0.794,0.794,4.808,3.48743E-05,0.000135171
MBIP,-0.794,0.794,2.359,0.000109867,0.000375299
NOD1,-0.794,0.794,3.09,0.000244304,0.000758774
WDR81,-0.794,0.794,3.468,0.000470837,0.001348627
PKIA,-0.794,0.794,3.344,0.001187235,0.003048294
LOC100505915,0.794,0.794,0.995,0.001582646,0.003917871
GNB1L,-0.794,0.794,2.649,0.004163439,0.009179991
PRR3,0.794,0.794,-0.545,0.005121705,0.011001587
TMED6,0.794,0.794,-0.164,0.005921772,0.012461359
C10orf82,0.794,0.794,-1.221,0.011762412,0.022700041
GMPPA,-0.794,0.794,5.587,0.014168022,0.026689943
SNORA9,0.794,0.794,-2.107,0.137228763,0.19450725
NAT16,0.794,0.794,-2.501,0.13811945,0.195582874
SNORA11B,0.794,0.794,-3.334,0.411379276,0.493284912
COQ10A,0.793,0.793,2.184,9.82964E-07,5.48267E-06
KIAA0922,-0.793,0.793,3.999,9.43178E-06,4.19699E-05
TTLL11,-0.793,0.793,2.676,2.68727E-05,0.000107127
IL10RB,-0.793,0.793,4.452,4.94446E-05,0.000184509
PIP4K2A,-0.793,0.793,3.776,0.000324334,0.000973188
LOC105370333,-0.793,0.793,1.357,0.000344805,0.001026846
PLCB3,-0.793,0.793,6.959,0.002759838,0.006418181
SAMD9,0.793,0.793,4.779,0.005894829,0.012413887
FAM46B,-0.793,0.793,4.484,0.063695335,0.099714081
REN,0.793,0.793,-2.343,0.064104511,0.100243788
MIR4644,-0.793,0.793,-3.513,0.613364602,0.686089955
TAS2R46,-0.793,0.793,-3.479,0.951497208,0.972842975
CCNL1,0.792,0.792,4.938,1.77099E-07,1.15805E-06
AGO3,0.792,0.792,4.591,2.8549E-07,1.78388E-06
ACSL3,-0.792,0.792,6.627,2.31329E-06,1.18174E-05
FRMD5,-0.792,0.792,3.121,4.60839E-06,2.20593E-05
WDR76,-0.792,0.792,3.872,0.000377099,0.001112162
MKI67,-0.792,0.792,4.996,0.000602202,0.001677586
PCDHGA11,-0.792,0.792,1.555,0.001539683,0.00382112
PSMD3,-0.792,0.792,7.327,0.002417092,0.005704118
DYRK1B,-0.792,0.792,2.412,0.008904795,0.01781195
HSPBP1,-0.792,0.792,4.685,0.014745697,0.027653982
TAS2R30,0.792,0.792,-3.549,0.494152797,0.575300935
FAHD1,-0.791,0.791,4.687,1.85235E-05,7.66769E-05
RAB3D,-0.791,0.791,6.154,5.79137E-05,0.000212541
COG6,-0.791,0.791,4.208,8.26815E-05,0.000290675
C3orf52,-0.791,0.791,3.916,9.61557E-05,0.000332726
GTF2F1,-0.791,0.791,6.503,0.000202668,0.000643215
APOE,-0.791,0.791,4.552,0.005190364,0.011126198
FLJ13224,0.791,0.791,-1.608,0.027705151,0.048025993
ZFAND3,-0.79,0.79,4.631,7.864E-08,5.50626E-07
OPA1,-0.79,0.79,5.929,9.31741E-05,0.000323645
RASA1,-0.79,0.79,4.996,0.000184047,0.00059141
SLC16A9,-0.79,0.79,3.066,0.00062716,0.001738269
RNU1-2,0.79,0.79,6.399,0.000654494,0.001806163
RNU1-3,0.79,0.79,6.399,0.000654767,0.00180669
RNU1-4,0.79,0.79,6.399,0.000655271,0.001807257
RNU1-1,0.79,0.79,6.399,0.000655292,0.001807257
RNVU1-18,0.79,0.79,6.399,0.000655208,0.001807257
MIR1539,0.79,0.79,-0.733,0.005643807,0.011948582
LINC01287,0.79,0.79,-2.119,0.198121139,0.266867383
SLC24A3,0.79,0.79,-2.555,0.272450652,0.349291358
MFSD14A,0.789,0.789,5.484,3.27075E-06,1.62291E-05
NRDC,-0.789,0.789,6.389,4.25859E-06,2.05762E-05
TEX10,-0.789,0.789,5.527,1.49874E-05,6.35966E-05
CDK2,-0.789,0.789,5.32,1.89724E-05,7.84205E-05
SETX,-0.789,0.789,5.957,5.07511E-05,0.000188825
RASGEF1A,-0.789,0.789,3.846,0.000127706,0.000428861
KDM4D,0.789,0.789,0.447,0.000223098,0.000700303
KIF15,-0.789,0.789,1.934,0.000832096,0.002228236
EDC4,-0.789,0.789,5.559,0.001095946,0.002839185
LOC100507103,0.789,0.789,-3.632,0.720664328,0.780332124
OR5B21,0.789,0.789,-3.531,0.848832122,0.889434075
GTF2IRD2B,0.788,0.788,3.098,6.60412E-08,4.68787E-07
GPBP1,0.788,0.788,5.328,0.000111076,0.000378541
DDHD1,-0.788,0.788,3.448,0.001640985,0.004045555
C6orf223,-0.788,0.788,3.091,0.007621143,0.01556844
PSG7,0.788,0.788,-1.322,0.069667747,0.107863577
CCDC155,0.788,0.788,-3.346,0.332182856,0.412085759
SUSD1,0.787,0.787,3.543,2.6356E-09,2.43968E-08
C22orf23,-0.787,0.787,4.836,4.07543E-07,2.47288E-06
RCOR1,-0.787,0.787,5.067,4.71519E-07,2.81581E-06
TWSG1,-0.787,0.787,4.838,2.46508E-05,9.93002E-05
WDR77,-0.787,0.787,6.078,5.47847E-05,0.000202073
KIRREL,-0.787,0.787,6.567,0.000768035,0.002080703
SOX12,-0.787,0.787,2.467,0.008453136,0.017024272
GPR157,-0.787,0.787,4.932,0.011707781,0.022613878
LDHD,-0.787,0.787,-0.344,0.018669868,0.033948076
HOXC9,-0.787,0.787,-1.775,0.114628192,0.166834361
RGPD4,-0.787,0.787,-3.44,0.4649736,0.546867284
MT1E,-0.786,0.786,6.981,1.51997E-06,8.1009E-06
LINC01123,-0.786,0.786,2.239,9.45701E-06,4.20532E-05
PIGO,-0.786,0.786,4.424,0.000473247,0.001355014
SLC2A10,-0.786,0.786,2.141,0.000567082,0.001591497
C5orf49,0.786,0.786,-2.92,0.223084945,0.295209271
LOC105369340,0.785,0.785,2.968,2.57246E-06,1.30414E-05
MTMR4,-0.785,0.785,5.75,4.39379E-06,2.11303E-05
PPFIA3,0.785,0.785,1.764,2.88701E-05,0.000114313
SRP54,-0.785,0.785,5.416,2.93004E-05,0.000115846
CCT6A,-0.785,0.785,7.636,5.52034E-05,0.000203551
ACADVL,-0.785,0.785,7.357,6.81405E-05,0.000245148
LINC00880,0.785,0.785,0.639,0.003396091,0.007683266
TMEM205,-0.785,0.785,4.648,0.003530233,0.007942324
DEPDC1,-0.785,0.785,3.646,0.007062234,0.01455698
CD302,0.785,0.785,-0.578,0.014046116,0.026491138
OGDHL,0.785,0.785,-1.754,0.06912607,0.107120108
EPHA8,0.785,0.785,-2.66,0.131881664,0.188208894
LINC02234,0.785,0.785,-2.785,0.227560633,0.300149997
FGF14-IT1,0.785,0.785,-3.142,0.374397201,0.455472711
MRPS27,-0.784,0.784,6.329,2.58449E-06,1.30877E-05
MTMR1,-0.784,0.784,5.085,3.62869E-06,1.77985E-05
CASK,-0.784,0.784,4.66,1.52676E-05,6.45682E-05
GATB,-0.784,0.784,4.826,1.80516E-05,7.49424E-05
GDPD5,0.784,0.784,1.386,0.000120333,0.000406551
ZNF816,-0.784,0.784,2.098,0.000405043,0.001184282
VPS37B,-0.784,0.784,5.874,0.004443768,0.009716748
C10orf67,0.784,0.784,-1.55,0.019765833,0.035654686
PA2G4,-0.783,0.783,7.673,1.46549E-06,7.84239E-06
SYNRG,0.783,0.783,3.439,2.11332E-06,1.09066E-05
CYP27C1,0.783,0.783,2.11,5.79026E-06,2.71038E-05
N4BP3,-0.783,0.783,2.23,1.11704E-05,4.89403E-05
PDP1,-0.783,0.783,5.093,1.36566E-05,5.84867E-05
PARP9,0.783,0.783,4.696,3.44368E-05,0.000133681
LDAH,-0.783,0.783,3.635,5.29558E-05,0.000196074
SMC6,-0.783,0.783,4.533,0.000120211,0.000406221
TMEM189,-0.783,0.783,6.227,0.000473322,0.001355059
ZNF567,0.783,0.783,1.677,0.000511814,0.001453315
B3GALNT1,-0.783,0.783,2.745,0.001077578,0.002796542
MCCC2,0.783,0.783,-0.204,0.001787598,0.00437125
CCDC125,0.783,0.783,2.833,0.002701111,0.006293887
ADPRHL2,-0.783,0.783,5.376,0.003865934,0.008588395
LIPE,-0.783,0.783,3.154,0.005515995,0.011717415
CTDP1,-0.783,0.783,4.561,0.006303179,0.013155193
PAMR1,-0.783,0.783,2.827,0.014026723,0.026461173
TLR5,0.783,0.783,-0.787,0.036565008,0.061264442
DUSP4,-0.783,0.783,6.673,0.0771861,0.117971819
IFITM4P,0.783,0.783,-3.072,0.14130486,0.199469049
MIR4754,0.783,0.783,-2.56,0.200804792,0.269824366
BPTF,0.782,0.782,4.618,1.27649E-06,6.92377E-06
PSMG4,-0.782,0.782,2.923,1.56471E-06,8.32283E-06
THOC3,-0.782,0.782,5.923,1.91076E-05,7.89359E-05
ARNT,-0.782,0.782,4.883,3.15681E-05,0.000123732
ITGAE,0.782,0.782,3.572,0.000165766,0.000540177
THAP7,-0.782,0.782,3.707,0.000704617,0.001926639
NFKBID,0.782,0.782,1.676,0.002671789,0.006233257
RHOG,-0.782,0.782,4.825,0.008403406,0.016940686
KRT17,-0.782,0.782,13.195,0.016505017,0.03053873
CYTH2,-0.782,0.782,5.764,0.024365577,0.042929736
PNMA6A,0.782,0.782,-2.467,0.150724115,0.210760409
DPH5,-0.781,0.781,4.445,4.76536E-07,2.84278E-06
LRCH3,0.781,0.781,5.362,6.38954E-07,3.71006E-06
STAMBP,-0.781,0.781,5.931,2.20178E-06,1.12936E-05
USP45,0.781,0.781,3.879,3.08068E-06,1.53533E-05
PPM1G,-0.781,0.781,6.947,3.20388E-05,0.000125317
PPP1R35,-0.781,0.781,3.482,4.77987E-05,0.000179024
DHRS7B,-0.781,0.781,4.036,5.52169E-05,0.000203567
TXNL1,-0.781,0.781,5.342,0.000126297,0.000424822
EHD4,-0.781,0.781,7.026,0.000130619,0.000437151
MAPK1IP1L,-0.781,0.781,5.649,0.003083645,0.007067894
RRAD,0.781,0.781,3.403,0.007550876,0.015443332
CIC,-0.781,0.781,4.856,0.017170526,0.031586908
HRASLS,0.781,0.781,-2.375,0.137019409,0.194268067
SNTG2,0.781,0.781,-2.546,0.243725797,0.318375607
TNFRSF10D,0.78,0.78,5.433,9.97805E-09,8.33688E-08
HMGCS1,-0.78,0.78,8.421,5.95104E-05,0.000217766
EMG1,-0.78,0.78,5.503,0.000229122,0.000716829
ZNF576,-0.78,0.78,3.368,0.000561829,0.001577896
ABTB1,-0.78,0.78,1.716,0.002454807,0.005778822
PLPP2,-0.78,0.78,4.156,0.006190287,0.012942238
AIRN,-0.78,0.78,-2.835,0.246973991,0.322005864
MIR374B,0.78,0.78,-3.085,0.32055333,0.399982471
ERRFI1,-0.779,0.779,5.821,1.2013E-06,6.57579E-06
DNAJC14,-0.779,0.779,4.869,5.29926E-06,2.49902E-05
KATNA1,0.779,0.779,4.398,7.82115E-06,3.55024E-05
ZCCHC4,0.779,0.779,3.244,5.46564E-05,0.000201698
PRPF38B,-0.779,0.779,3.742,0.00018974,0.000607034
ALG10,-0.779,0.779,2.216,0.000453437,0.001306054
FZD3,-0.779,0.779,3.38,0.00233337,0.005532625
KCTD11,-0.779,0.779,6.594,0.003678306,0.008221562
TM4SF19-AS1,0.779,0.779,-0.354,0.011342419,0.021985037
CA3-AS1,0.779,0.779,-0.771,0.016372581,0.030325892
VWA8-AS1,0.779,0.779,-1.36,0.017400191,0.031949718
TM4SF1-AS1,0.779,0.779,-2.855,0.123870044,0.178507468
PTPN13,-0.778,0.778,6.253,2.77021E-07,1.73866E-06
TRMT12,-0.778,0.778,3.095,0.000158596,0.000519577
PRR4,0.778,0.778,0.308,0.000595122,0.001659906
TRAF3IP2-AS1,0.778,0.778,0.531,0.00113806,0.002932673
STEAP1,-0.778,0.778,2.631,0.002347355,0.005559964
FST,-0.778,0.778,8.383,0.002879459,0.006651297
PCDHB6,0.778,0.778,-3.171,0.138205495,0.195692484
MIR604,0.778,0.778,-3.653,0.580097906,0.655514975
AAMP,-0.777,0.777,6.407,7.74079E-07,4.4167E-06
ARHGEF3,-0.777,0.777,4.821,1.22077E-06,6.66625E-06
DDX47,-0.777,0.777,5.905,1.87743E-05,7.76301E-05
UTP15,-0.777,0.777,4.188,0.000148094,0.000489346
TTF1,-0.777,0.777,3.035,0.000845147,0.002257479
LOC400002,0.777,0.777,-0.33,0.001949542,0.004723906
PTOV1,-0.777,0.777,5.764,0.003652353,0.00817404
PNMAL1,-0.777,0.777,1.181,0.006413926,0.013360478
LOC107985075,0.777,0.777,-2.621,0.142704773,0.201120321
MFSD6,-0.776,0.776,3.826,3.42201E-06,1.68798E-05
ZFYVE21,-0.776,0.776,5.254,8.38713E-06,3.78289E-05
SNRNP40,-0.776,0.776,6.125,9.11718E-06,4.07806E-05
R3HDM1,0.776,0.776,3.473,1.77899E-05,7.39237E-05
CUEDC1,-0.776,0.776,4.451,0.000147229,0.000486632
DDOST,-0.776,0.776,7.559,0.000221083,0.00069475
HMOX2,-0.776,0.776,6.274,0.000990845,0.002599748
TMEM262,0.776,0.776,0.338,0.001799332,0.004398043
FSIP1,0.776,0.776,0.637,0.031925245,0.054350244
LOC101928737,0.776,0.776,-3.132,0.427411783,0.509703291
TTI2,0.775,0.775,4.556,5.88217E-09,5.11467E-08
ELP4,-0.775,0.775,3.751,3.98003E-06,1.93542E-05
MAPK6,-0.775,0.775,6.939,1.35759E-05,5.8185E-05
FMNL2,-0.775,0.775,5.445,0.000119969,0.000405526
SAP30,-0.775,0.775,2.15,0.000203518,0.000645734
MKRN2,-0.775,0.775,4.917,0.000285712,0.000869729
TDP2,0.775,0.775,4.125,0.000555684,0.001563383
HMGB1,-0.775,0.775,7.346,0.000658215,0.00181304
ZNF674,0.775,0.775,1.311,0.000711081,0.001941503
SCEL,-0.775,0.775,5.072,0.000835136,0.002234955
POLK,-0.775,0.775,3.568,0.001267134,0.003226634
ZNRF3,-0.775,0.775,2.841,0.001364956,0.003445628
