GENE_SYMBOL,Log_FoldChange,adjLogFoldChange,logCPM,PValue,FDR_adjusted_P.value
ZBED5,-0.254,0.254,4.165,0.088393732,0.332754983
TEPP,-0.254,0.254,1.513,0.108471196,0.376749158
ALDH4A1,-0.254,0.254,6.199,0.126723229,0.411452284
HS1BP3,-0.254,0.254,4.965,0.129492104,0.416425463
BCLAF1,-0.254,0.254,6.214,0.159896143,0.466514294
LOC104968399,0.254,0.254,-0.214,0.168060515,0.479509933
AP2A1,-0.254,0.254,6.975,0.198983523,0.524803392
FGF7P6,0.254,0.254,0.705,0.199616936,0.525388837
KLHL35,-0.254,0.254,0.012,0.217760276,0.549337471
NFATC1,-0.254,0.254,1.854,0.221388988,0.554534825
LOC102723582,0.254,0.254,-0.66,0.304134129,0.649835499
LOC154761,-0.254,0.254,1.747,0.321869749,0.66690274
ARHGAP15,0.254,0.254,-1.131,0.460199066,0.782301707
PRPF31,0.254,0.254,-0.659,0.469932424,0.78884304
PSG1,-0.254,0.254,-1.003,0.512025361,0.816791856
LINC01139,0.254,0.254,-2.5,0.520381563,0.822726915
RAPGEF4-AS1,0.254,0.254,-2.488,0.680030188,0.906032805
SV2B,-0.254,0.254,-0.179,0.810694603,0.957764398
USP17L21,0.254,0.254,-4.074,0.952200507,1
TP53I3,-0.253,0.253,6.704,0.005513915,0.048937924
APPL2,-0.253,0.253,4.429,0.017221707,0.111800183
CHST3,-0.253,0.253,5.46,0.023901458,0.14114059
PEX10,-0.253,0.253,4.492,0.032569814,0.174979063
HNRNPA0,-0.253,0.253,6.142,0.041008136,0.20361997
GPBP1,0.253,0.253,5.153,0.049003805,0.229011525
EPAS1,-0.253,0.253,6.696,0.051705961,0.237176943
WDSUB1,0.253,0.253,2.077,0.057816562,0.256059593
BDKRB2,-0.253,0.253,3.625,0.064811378,0.274401516
SH3BP5,-0.253,0.253,2.374,0.068854318,0.285586012
SIRT7,0.253,0.253,4.201,0.077513282,0.307661061
PTPN12,0.253,0.253,4.294,0.077975454,0.308774458
ZNF333,0.253,0.253,2.386,0.080365301,0.315164112
DMRTA2,-0.253,0.253,2.499,0.09465257,0.347727278
SLC16A2,-0.253,0.253,4.697,0.105502617,0.37089162
ERN1,0.253,0.253,3.664,0.119835055,0.398019602
TMEM144,-0.253,0.253,2.156,0.129316852,0.416163097
CCNO,-0.253,0.253,1.188,0.143217467,0.438414775
FAM86C2P,-0.253,0.253,0.645,0.154647749,0.458197712
SNCG,-0.253,0.253,2.397,0.1922508,0.516182023
DTX2,0.253,0.253,1.414,0.234961877,0.57214492
KCTD21-AS1,0.253,0.253,-0.46,0.248993108,0.590517976
RNF165,-0.253,0.253,1.171,0.268793595,0.613127602
THAP12,-0.253,0.253,5.22,0.272440386,0.61717211
NAP1L5,0.253,0.253,0.339,0.283317964,0.628259989
SCARNA6,0.253,0.253,2.236,0.290291801,0.635533416
FOXP4,-0.253,0.253,2.068,0.339491748,0.684871884
KLHDC9,-0.253,0.253,0.104,0.359492696,0.703809839
POC1B-GALNT4,0.253,0.253,1.235,0.376842025,0.717602056
SNORA55,0.253,0.253,-1.385,0.40718295,0.742775778
FXYD2,-0.253,0.253,-0.86,0.428343259,0.759974882
ANKS1B,0.253,0.253,-0.75,0.522265594,0.824140981
TMEM255A,0.253,0.253,-1.849,0.568554513,0.850790098
GTSF1,0.253,0.253,-2.52,0.580074096,0.857865835
OR9Q1,-0.253,0.253,-3.485,0.656154255,0.894956153
LINC01527,-0.253,0.253,-3.039,0.661558316,0.897223321
ZSCAN1,-0.253,0.253,-3.785,0.87628703,0.97863016
MIR7155,-0.253,0.253,-3.816,1,1
SLC6A11,-0.252,0.252,3.458,0.008901865,0.069656541
DNAJB6,0.252,0.252,6.917,0.009125235,0.07096695
RPS27,0.252,0.252,9.37,0.015170047,0.102463544
CSNK1G3,-0.252,0.252,4.757,0.016541445,0.108879469
HMCES,0.252,0.252,5.848,0.016985965,0.110755274
RALGDS,-0.252,0.252,5.253,0.058744154,0.258569722
PPFIBP1,0.252,0.252,5.936,0.060115838,0.262371973
KRTCAP3,0.252,0.252,3.717,0.064155329,0.273127883
NUDT16L1,-0.252,0.252,4.345,0.090954831,0.338452524
SPATA33,-0.252,0.252,2.118,0.115162903,0.389635072
ITPR1,-0.252,0.252,3.279,0.136152348,0.42737488
CREB3L2,-0.252,0.252,4.776,0.13909053,0.43193911
CT62,-0.252,0.252,0.526,0.152664462,0.454773374
PCED1B-AS1,0.252,0.252,-0.578,0.339179044,0.684489686
OR2A20P,0.252,0.252,-0.961,0.420244564,0.753428682
NOV,0.252,0.252,-3.38,0.687971588,0.908789458
ELOVL2,-0.252,0.252,-3.434,0.794608894,0.951697224
NCAM1,-0.252,0.252,-0.566,0.795110358,0.951697224
MIR4257,-0.252,0.252,-3.623,1,1
PSMA5,0.251,0.251,6.837,0.010342334,0.077935871
ZNF57,-0.251,0.251,2.837,0.015814765,0.105566406
PEA15,-0.251,0.251,7.268,0.023437984,0.1392551
DAP,-0.251,0.251,5.212,0.034078825,0.180510513
ABRACL,0.251,0.251,5.983,0.047062756,0.222778418
TMEM263,-0.251,0.251,4.851,0.080369331,0.315164112
ZNRF1,-0.251,0.251,3.545,0.084339328,0.323647985
TRIM6,0.251,0.251,2.923,0.115931017,0.391161535
BRF1,-0.251,0.251,3.985,0.128474767,0.414612589
SOS1,0.251,0.251,3.236,0.159597483,0.466078359
CDC7,-0.251,0.251,2.985,0.201399006,0.527665872
SLC2A3,0.251,0.251,3.609,0.224074518,0.557426139
LINC00114,0.251,0.251,-1.493,0.322588821,0.667316384
CRYAB,0.251,0.251,2.206,0.32685328,0.67171569
EIF1B-AS1,0.251,0.251,-0.339,0.347206772,0.691890783
RALGAPA1P1,0.251,0.251,-0.281,0.417166499,0.750696945
ZNF662,-0.251,0.251,-0.654,0.430305807,0.761874832
CLLU1,0.251,0.251,-1.84,0.465813136,0.786325138
DRP2,-0.251,0.251,-1.91,0.547772973,0.841550029
ANGPTL8,-0.251,0.251,-2.37,0.568101898,0.850664621
LOC100287944,-0.251,0.251,-2.922,0.576442253,0.85590467
CCRL2,0.251,0.251,-2.868,0.655084283,0.894589957
NRXN1,0.251,0.251,-0.256,0.675951983,0.904619284
BMX,0.251,0.251,-3.001,0.682342351,0.906933517
ARHGAP35,-0.25,0.25,5.995,0.003357593,0.033062468
CLASP2,-0.25,0.25,5.627,0.014550749,0.099368244
NSG1,-0.25,0.25,5.034,0.020679053,0.127926804
CDH13,-0.25,0.25,6.241,0.022576489,0.135770629
GOLM1,0.25,0.25,4.253,0.044416944,0.214904815
GSTA4,-0.25,0.25,3.483,0.052977163,0.241595892
ZBTB8A,-0.25,0.25,3.188,0.058971255,0.259312437
SNRNP35,0.25,0.25,3.57,0.063068197,0.270209815
NSF,0.25,0.25,2.471,0.073545893,0.298033933
COG8,-0.25,0.25,3.715,0.074907098,0.30151498
PLXNB2,-0.25,0.25,7.141,0.115661921,0.390680028
CDH4,-0.25,0.25,1.875,0.123255676,0.40486838
KLHL15,-0.25,0.25,2.341,0.126673854,0.41141223
RTN4R,-0.25,0.25,2.804,0.177352102,0.493533574
DHRS2,0.25,0.25,0.624,0.188609977,0.510722897
SULT2B1,-0.25,0.25,2.277,0.251611755,0.593749217
GPR141,0.25,0.25,0.259,0.254323957,0.596978731
ZNF326,-0.25,0.25,2.844,0.263525484,0.607111059
SCN9A,-0.25,0.25,1.582,0.282026751,0.627086805
CHADL,0.25,0.25,0.201,0.284402274,0.629345205
TLN2,-0.25,0.25,1.361,0.29432966,0.639277806
SPRR2E,0.25,0.25,1.214,0.298117869,0.642782158
TRPS1,-0.25,0.25,5.564,0.306526176,0.651325446
CHRM3,-0.25,0.25,-1.325,0.450775118,0.775855679
CYB561D2,0.25,0.25,-2.232,0.505226928,0.812967494
SMIM11B,-0.25,0.25,2.134,0.649797303,0.893059298
KRT74,-0.25,0.25,-2.387,0.693090017,0.910740575
CTAGE1,-0.25,0.25,-3.981,0.945679709,1
KATNAL1,-0.249,0.249,4.397,0.011652694,0.08476868
CBX6,-0.249,0.249,4.64,0.024402555,0.142848292
PTDSS1,-0.249,0.249,7.163,0.026024099,0.149355513
PTOV1-AS1,0.249,0.249,2.1,0.030228184,0.166207572
ATP10D,-0.249,0.249,6.12,0.040841504,0.203019468
SNHG18,-0.249,0.249,2.627,0.069227282,0.286704709
CYP51A1,-0.249,0.249,8.018,0.120352529,0.398989917
ZNF771,-0.249,0.249,1.325,0.124367412,0.406472016
ATP6V0E2-AS1,-0.249,0.249,0.019,0.13533032,0.426253092
TIGD1,0.249,0.249,3.044,0.204196089,0.531556037
TP53,-0.249,0.249,5.289,0.21811996,0.549532499
PLA2G4B,-0.249,0.249,0.45,0.255563932,0.598687415
CEP83-AS1,0.249,0.249,-1.346,0.290899361,0.636181268
LRP1,-0.249,0.249,6.024,0.292387572,0.637557286
FAM105A,-0.249,0.249,0.235,0.316427468,0.6612206
SRRM2-AS1,0.249,0.249,-0.788,0.324656056,0.668976374
MFAP4,-0.249,0.249,-0.733,0.346929822,0.691574274
HIST1H4H,-0.249,0.249,7.495,0.396905992,0.735374603
FPGT-TNNI3K,0.249,0.249,0.366,0.431473233,0.762596693
LINC01585,0.249,0.249,-1.374,0.436030939,0.765446944
TMEM105,-0.249,0.249,-0.6,0.487324265,0.799963685
ANKRD17,-0.248,0.248,6.057,0.010199309,0.077172227
ZNF148,-0.248,0.248,4.899,0.011870486,0.085617805
SURF4,-0.248,0.248,7.329,0.013178329,0.092410539
TOP1MT,-0.248,0.248,3.94,0.016961931,0.11070905
TRIM24,-0.248,0.248,2.954,0.023370772,0.139004474
CAV2,0.248,0.248,7.758,0.038333037,0.195620609
ECH1,-0.248,0.248,4.612,0.053009847,0.241660938
LTBP2,-0.248,0.248,7.067,0.05467443,0.247019007
SH3GLB1,0.248,0.248,6.55,0.055528248,0.249321465
METTL8,-0.248,0.248,4.71,0.056248173,0.251488975
SLC18B1,0.248,0.248,3.75,0.066124317,0.278368713
EFNB2,0.248,0.248,5.993,0.116911857,0.392800499
TAF9B,-0.248,0.248,2.929,0.158978185,0.465259605
ANXA1,0.248,0.248,9.665,0.159551312,0.466004785
CFAP69,0.248,0.248,1.262,0.203698152,0.530747649
LBX2-AS1,0.248,0.248,-0.627,0.269102784,0.613494716
USP32P2,0.248,0.248,-0.11,0.323908323,0.668457287
NFATC4,-0.248,0.248,4.348,0.354702283,0.699163688
CYFIP2,-0.248,0.248,0.923,0.385296082,0.725206611
VWA8-AS1,0.248,0.248,-1.492,0.447873006,0.773497539
ADRB1,0.248,0.248,-1.942,0.488682932,0.800689844
EDA,-0.248,0.248,-1.921,0.502349935,0.810789292
SRGAP3-AS2,-0.248,0.248,-2.903,0.708390391,0.917257792
MIR378J,0.248,0.248,-3.458,0.981748473,1
NIPAL3,-0.247,0.247,5.872,0.005409442,0.048126054
PMVK,-0.247,0.247,3.923,0.044433054,0.21490971
VPS13D,-0.247,0.247,6.506,0.046882231,0.222302832
PPP4R4,0.247,0.247,2.18,0.052050854,0.238463544
TMEM177,-0.247,0.247,3.236,0.070305852,0.289230463
FAM213B,-0.247,0.247,3.178,0.07575319,0.303326807
CCDC88C,0.247,0.247,4.214,0.082258573,0.319161354
HACD4,-0.247,0.247,4.041,0.082974269,0.32069863
THSD4,-0.247,0.247,5.44,0.085648844,0.327091125
PQLC1,-0.247,0.247,4.886,0.100986516,0.360967894
PGBD4,0.247,0.247,1.964,0.101739795,0.362753062
APC,-0.247,0.247,4.278,0.131118426,0.418873595
MBNL3,-0.247,0.247,2.38,0.13236272,0.421070465
LOC101927204,0.247,0.247,1.233,0.193737522,0.518180014
KDM4B,-0.247,0.247,4.935,0.195828918,0.520792222
LMCD1-AS1,-0.247,0.247,-0.256,0.216208482,0.547594142
CCDC144B,0.247,0.247,2.133,0.232862429,0.569153797
SHANK2,-0.247,0.247,3.494,0.233435642,0.569976857
CASKIN2,-0.247,0.247,3.266,0.247360549,0.588704758
SNORA20,0.247,0.247,-1.231,0.268070261,0.612109619
NDRG1,-0.247,0.247,10.165,0.276342735,0.620723342
HIST1H2AB,-0.247,0.247,6.343,0.366995832,0.710608596
SPATA4,-0.247,0.247,-1.328,0.488592938,0.800626401
NOVA1,0.247,0.247,-1.941,0.580273062,0.857897382
NDST1-AS1,0.247,0.247,-2.62,0.653856133,0.894222407
HERC1,-0.246,0.246,5.686,0.012489309,0.088698852
ARMC9,-0.246,0.246,4.036,0.013096488,0.092010905
FOXJ3,-0.246,0.246,4.717,0.021960825,0.133040557
DNASE1L1,-0.246,0.246,5.489,0.02331388,0.138840279
KIF16B,-0.246,0.246,4.599,0.038097926,0.19499397
MPDZ,-0.246,0.246,4.126,0.049618752,0.230673972
C11orf84,-0.246,0.246,4.258,0.056837197,0.253236729
ZDHHC2,0.246,0.246,4.133,0.06642814,0.279121911
ADGRG6,-0.246,0.246,4.583,0.09078404,0.338180005
S100A4,-0.246,0.246,2.518,0.096239721,0.350848295
MTFR2,0.246,0.246,1.891,0.1118503,0.383138619
ABHD14A,-0.246,0.246,1.963,0.147258539,0.445505713
SOX15,-0.246,0.246,5.75,0.147497598,0.445809515
SRGAP1,-0.246,0.246,4.191,0.179443201,0.495946808
CTSD,-0.246,0.246,7.546,0.187510786,0.50861442
ENO3,-0.246,0.246,0.965,0.20379987,0.530888147
ARNTL,-0.246,0.246,4.114,0.216928719,0.54861925
SNORD100,0.246,0.246,-0.106,0.247803236,0.588980702
RGS4,0.246,0.246,-0.278,0.319487064,0.66483227
FGF7,0.246,0.246,-0.536,0.328842182,0.67359098
EID3,0.246,0.246,-1.126,0.354729017,0.699163688
CARD9,0.246,0.246,-0.24,0.373803855,0.71568233
GNRH1,0.246,0.246,-0.837,0.420835214,0.753939861
MIR92B,-0.246,0.246,-1.627,0.461536307,0.783222286
TFAP2E,0.246,0.246,-1.923,0.482488967,0.797151005
IL24,0.246,0.246,2.042,0.55585607,0.845155622
TSGA13,0.246,0.246,-2.664,0.590860978,0.864229741
REEP1,0.246,0.246,-1.542,0.600103181,0.868426966
LINC01771,-0.246,0.246,-3.122,0.619044733,0.876409619
PSG11,-0.246,0.246,-2.634,0.628981488,0.881560346
SNORD92,0.246,0.246,-3.254,0.714334028,0.919390734
HDAC1,0.245,0.245,7.217,0.003778848,0.036293606
RGS20,0.245,0.245,4.217,0.014220212,0.097590984
ALG9,-0.245,0.245,5.143,0.021970858,0.133065055
ARL3,-0.245,0.245,3.67,0.049493877,0.230552835
PARD6G,-0.245,0.245,4.856,0.050886922,0.234436533
POMT2,-0.245,0.245,4.021,0.057843296,0.256126932
COQ10B,0.245,0.245,4.169,0.072733068,0.295873488
NOP53,-0.245,0.245,6.264,0.07680242,0.305928951
EFR3A,0.245,0.245,5.9,0.104346506,0.368237909
PPP2R5A,0.245,0.245,4.522,0.116783226,0.392665259
PSMA4,0.245,0.245,6.389,0.146607719,0.444323395
ARL6,-0.245,0.245,2.341,0.190030386,0.513133639
MYL9,-0.245,0.245,3.301,0.205810623,0.533069098
ANXA9,-0.245,0.245,0.998,0.212753021,0.542815605
HSPG2,-0.245,0.245,6.872,0.288765234,0.633771695
DOCK11,-0.245,0.245,-0.325,0.327818509,0.672951536
LOC155060,0.245,0.245,-0.089,0.334090315,0.679466845
NCKAP1L,0.245,0.245,-0.346,0.485720673,0.799553113
GRM4,-0.245,0.245,-2.456,0.651529616,0.893906161
DCST2,0.245,0.245,-2.54,0.670459017,0.901526612
SNTB1,-0.245,0.245,-2.971,0.72849257,0.926516427
ZBTB20-AS3,0.245,0.245,-3.559,0.812000678,0.958290233
IKBKAP,-0.244,0.244,6.229,0.029838522,0.164727329
C21orf33,-0.244,0.244,4.336,0.032812551,0.175791878
TBPL1,0.244,0.244,4.191,0.046473819,0.221311018
LRP8,-0.244,0.244,4.543,0.063258057,0.270610001
SLC35D1,-0.244,0.244,5.149,0.070990058,0.290860225
BNIP3,-0.244,0.244,6.837,0.085386532,0.326618716
RBPMS,0.244,0.244,2.785,0.0951227,0.348935069
TTC30B,-0.244,0.244,2.784,0.104039504,0.367633075
IRAK1BP1,-0.244,0.244,2.555,0.115276083,0.389780546
ZNF121,-0.244,0.244,5.384,0.129704913,0.416747851
KRBA1,-0.244,0.244,3.541,0.133696203,0.423360824
XIAP,0.244,0.244,5.027,0.150371444,0.450472014
C2orf74,-0.244,0.244,1.976,0.153717092,0.456574555
PTPRD,-0.244,0.244,1.118,0.19688854,0.522319551
LOC101928707,0.244,0.244,-0.467,0.198959916,0.524803392
SAMD12,-0.244,0.244,1.268,0.319567558,0.664842977
C2orf54,0.244,0.244,0.408,0.327191343,0.672143119
LINC01752,0.244,0.244,-2.465,0.420277242,0.753428682
SNORD113-4,-0.244,0.244,-2.675,0.549839778,0.84248414
LINC02383,0.244,0.244,-2.279,0.633574901,0.883328276
LCE1E,-0.244,0.244,-3.271,0.796918788,0.952239862
MIR3192,0.244,0.244,-3.533,0.806100123,0.956291479
SFXN3,-0.243,0.243,6.006,0.021811101,0.132422504
SHPRH,-0.243,0.243,3.749,0.056022779,0.250916542
ZNF143,0.243,0.243,3.967,0.060245496,0.262782975
CCDC71,-0.243,0.243,4.278,0.064628286,0.274110111
HADH,-0.243,0.243,5.313,0.071956726,0.293521606
S100A7,0.243,0.243,1.57,0.0825211,0.319875455
C9orf85,0.243,0.243,2.529,0.092962367,0.343220706
39325,-0.243,0.243,6.35,0.098497629,0.355619181
HACD2,-0.243,0.243,5.626,0.117190973,0.393143681
CIR1,0.243,0.243,2.941,0.120975603,0.400212496
SOX7,0.243,0.243,3.479,0.124053667,0.405809485
DUBR,0.243,0.243,2.168,0.154592502,0.458197712
SLC25A10,-0.243,0.243,4.344,0.170062271,0.482125235
SSX2IP,-0.243,0.243,4.049,0.175190273,0.490528348
LOC101928820,-0.243,0.243,0.78,0.192252535,0.516182023
CDC37L1,-0.243,0.243,3.115,0.205861888,0.533069098
SNORD12B,0.243,0.243,1.363,0.214598899,0.545459329
FLJ21408,0.243,0.243,-0.042,0.230299539,0.566133167
ARHGAP42,-0.243,0.243,1.573,0.259772066,0.60326536
COPS2,-0.243,0.243,5.25,0.280917026,0.625586394
LOC100506258,0.243,0.243,-0.772,0.290797678,0.63608413
KHK,-0.243,0.243,1.293,0.316917582,0.661933441
PRSS53,-0.243,0.243,0.8,0.34811502,0.692851296
C7orf57,0.243,0.243,-1.472,0.391378144,0.730782032
SCAMP5,0.243,0.243,-0.866,0.509290677,0.814828404
VPS33A,0.243,0.243,0.979,0.588910005,0.86296568
LOC101927793,0.243,0.243,-2.899,0.70781369,0.917018991
ANKRD55,0.243,0.243,-3.583,0.822650501,0.961560591
TRPC7,0.243,0.243,-3.39,0.85482773,0.970977488
USP17L20,0.243,0.243,-4.013,1,1
ANKZF1,-0.242,0.242,5.24,0.019125379,0.120873486
CARD8,0.242,0.242,2.957,0.023741147,0.14060506
TFCP2L1,-0.242,0.242,5.008,0.028854262,0.160578183
UNG,-0.242,0.242,5.071,0.04628009,0.220719664
FGFBP1,-0.242,0.242,9.604,0.046965699,0.222603585
MAP4,-0.242,0.242,8.039,0.053157353,0.241959123
C16orf45,-0.242,0.242,2.674,0.055884066,0.250547835
PDPR,-0.242,0.242,4.448,0.057493934,0.255201113
FARP1,-0.242,0.242,5.58,0.063276929,0.270616801
DEPDC5,-0.242,0.242,3.462,0.066426634,0.279121911
PRRG1,0.242,0.242,3.526,0.080074794,0.31450876
USP24,-0.242,0.242,5.877,0.08539282,0.326618716
PLSCR3,-0.242,0.242,5.388,0.101589099,0.362596697
PMEPA1,-0.242,0.242,7.265,0.105643538,0.371164194
NOP14-AS1,-0.242,0.242,4.862,0.120623227,0.399589172
SNAPC1,-0.242,0.242,3.668,0.141190132,0.4356909
TMPO-AS1,0.242,0.242,0.449,0.159112466,0.465396107
UBTD1,-0.242,0.242,4.605,0.202331113,0.529234155
SPACA6P-AS,0.242,0.242,0.025,0.257106936,0.600286762
SAMD10,-0.242,0.242,-0.392,0.281228837,0.626001865
RAP2C-AS1,-0.242,0.242,0.285,0.338771717,0.684355183
LOC102723701,0.242,0.242,-1.328,0.363891656,0.708178111
SLC10A5,0.242,0.242,-1.94,0.469898965,0.78884304
AMDHD1,0.242,0.242,-1.67,0.474470315,0.791750939
ZNF295-AS1,0.242,0.242,-2.014,0.501276333,0.810174881
LOC101928909,0.242,0.242,-2.308,0.569410275,0.851295257
CPA2,0.242,0.242,-2.274,0.570865558,0.851869306
FTCDNL1,-0.242,0.242,-2.353,0.618106662,0.876052028
MIR5189,0.242,0.242,-3.684,0.741871072,0.931584753
NRK,0.242,0.242,-3.084,0.742092137,0.931586293
LOC101927877,0.242,0.242,-2.994,0.761367392,0.940961146
TANC1,-0.241,0.241,5.845,0.010782318,0.080378921
NPEPL1,-0.241,0.241,4.475,0.047442761,0.224232098
SYNRG,0.241,0.241,3.302,0.057265919,0.254585231
OTUD4,0.241,0.241,4.953,0.060782896,0.263728914
THUMPD3-AS1,0.241,0.241,2.965,0.070069237,0.288521967
EPS8L2,-0.241,0.241,6.446,0.092171051,0.341212792
STAG1,-0.241,0.241,4.822,0.101534662,0.362460631
ACSS1,0.241,0.241,2.089,0.108875873,0.377564394
ZNF519,0.241,0.241,1.082,0.129548014,0.416544961
SKIV2L2,-0.241,0.241,5.674,0.132803878,0.421740846
GALNT1,-0.241,0.241,6.27,0.138610665,0.431325944
PCSK6,-0.241,0.241,1.088,0.198893368,0.524752514
UBLCP1,-0.241,0.241,3.57,0.236437763,0.574108747
TRIB3,-0.241,0.241,6.056,0.265189391,0.609265375
NMNAT3,-0.241,0.241,-0.197,0.322495135,0.667309
ZMYND10,-0.241,0.241,-0.51,0.421600268,0.754580241
SNORD116-7,0.241,0.241,-0.952,0.482306765,0.797099694
SNORD116-5,0.241,0.241,-0.952,0.482314386,0.797099694
STARD8,0.241,0.241,-1.053,0.494868178,0.805048915
ASB18,0.241,0.241,-2.515,0.507082643,0.813769474
TRPM8,0.241,0.241,-1.939,0.51281853,0.81739431
LINC01609,0.241,0.241,-0.525,0.515615182,0.819493159
PITPNC1,-0.24,0.24,4.18,0.019141329,0.120939883
TRIM65,-0.24,0.24,4.31,0.02007731,0.125145185
SMAP2,-0.24,0.24,4.046,0.031741547,0.171829756
IPO5,-0.24,0.24,7.655,0.04253258,0.20830275
WDR19,-0.24,0.24,3.294,0.059960322,0.262151106
TSPAN9,-0.24,0.24,3.841,0.060604393,0.263292549
USP42,0.24,0.24,3.193,0.067392641,0.281706103
FAM120C,0.24,0.24,2.331,0.069647369,0.287533227
VDR,-0.24,0.24,5.106,0.076274658,0.30449871
P4HA2,-0.24,0.24,7.025,0.084621239,0.324449573
PYCR1,-0.24,0.24,5.146,0.085565629,0.327054449
GNG11,0.24,0.24,2.754,0.094324513,0.346981132
RAB1B,-0.24,0.24,7.328,0.09565405,0.349959606
RCAN1,0.24,0.24,5.125,0.102593101,0.364108345
RIDA,-0.24,0.24,2.714,0.130792727,0.418608333
ZNF821,0.24,0.24,1.916,0.14967303,0.449443952
ZNF526,-0.24,0.24,4.405,0.164085261,0.47315084
CDH26,-0.24,0.24,0.533,0.20283952,0.529600818
OTUD3,0.24,0.24,2.335,0.253382321,0.595750605
LOXL1-AS1,-0.24,0.24,0.578,0.279881953,0.624693819
TFF3,-0.24,0.24,0.163,0.307495506,0.651909695
RAMP1,-0.24,0.24,0.292,0.326892565,0.67171569
TBC1D8-AS1,0.24,0.24,-1.151,0.342995595,0.687817941
MYEOV,0.24,0.24,-1.113,0.390580344,0.730119685
PIPSL,0.24,0.24,-2.19,0.449532035,0.77521768
CAVIN4,0.24,0.24,-2.126,0.494340556,0.80464357
DLG2,0.24,0.24,-0.41,0.512405794,0.817319679
FAM9A,-0.24,0.24,-3.819,0.781282158,0.948114451
LRRC63,0.24,0.24,-3.693,0.838088891,0.965531874
LINC00560,-0.24,0.24,-3.633,0.905580721,0.988233812
USP17L17,0.24,0.24,-4.077,0.952036961,1
GANC,0.239,0.239,4.879,0.004024662,0.038143288
ALDH18A1,-0.239,0.239,6.649,0.008169249,0.065563536
PIP4K2B,-0.239,0.239,5.013,0.018581634,0.118312125
SGSM2,-0.239,0.239,4.705,0.027645132,0.156046747
XBP1,0.239,0.239,7.086,0.027618084,0.156046747
FKBP3,0.239,0.239,5.031,0.036862561,0.190797249
MINDY2,-0.239,0.239,3.884,0.053403175,0.242756605
KCTD18,-0.239,0.239,3.621,0.076784104,0.305928951
DHRS9,-0.239,0.239,2.581,0.083739651,0.322404914
TGFBR1,-0.239,0.239,6.48,0.091137339,0.338904874
JADE2,0.239,0.239,5.227,0.118657544,0.396018097
SLC16A5,-0.239,0.239,2.062,0.142502856,0.436708642
TMEM214,-0.239,0.239,5.483,0.144805769,0.441446151
SDC1,-0.239,0.239,10.329,0.145778267,0.442667466
ZNF542P,-0.239,0.239,4.338,0.177721997,0.49393857
SGO1,0.239,0.239,1.806,0.183958308,0.502986853
TRAF3IP2-AS1,0.239,0.239,0.38,0.197226048,0.522710993
FBXW4P1,-0.239,0.239,0.277,0.224817224,0.558324076
PLA2G6,0.239,0.239,1.315,0.263121729,0.606668314
NFIA,-0.239,0.239,3.548,0.274849785,0.619838335
LINC01679,0.239,0.239,0.817,0.324177209,0.668734023
TREM1,0.239,0.239,-0.27,0.324568249,0.668976374
KIF12,0.239,0.239,0.307,0.371152402,0.714262571
LOC440895,0.239,0.239,-1.391,0.424698567,0.756772172
FAM178B,0.239,0.239,-2.769,0.59051985,0.864132697
PLCXD3,0.239,0.239,-2.834,0.669427776,0.901127801
MIR4256,0.239,0.239,-3.707,0.733433753,0.929291697
LOC440084,0.239,0.239,-3.467,0.747798809,0.934433038
OCIAD2,0.238,0.238,7.682,0.006246112,0.053907295
GLIPR1,0.238,0.238,5.957,0.022348497,0.134727776
FAM76A,0.238,0.238,3.379,0.028096222,0.15770654
KIF1C,-0.238,0.238,8.578,0.043927448,0.213253555
ZFYVE1,-0.238,0.238,4.314,0.077229989,0.30697159
C5orf51,-0.238,0.238,3.227,0.128840053,0.4152302
KDM7A,0.238,0.238,3.815,0.141322545,0.435796825
ZBTB24,-0.238,0.238,3.311,0.153638642,0.456574555
FOXQ1,-0.238,0.238,1.429,0.207639392,0.534992937
AOC2,0.238,0.238,-0.369,0.251871306,0.594099745
DNALI1,0.238,0.238,0.724,0.285278644,0.630049021
ANGPTL4,0.238,0.238,8.334,0.306913413,0.651631078
ZNF30,-0.238,0.238,0.753,0.322420837,0.667305622
TH,-0.238,0.238,-0.242,0.392245337,0.731447172
EMILIN3,-0.238,0.238,-2.419,0.445430606,0.771784973
PTGER2,0.238,0.238,-2.956,0.640683128,0.888049896
ADRA2C,-0.238,0.238,-2.873,0.720530538,0.923261574
MIR4441,-0.238,0.238,-3.53,0.748187454,0.934445623
KCNU1,-0.238,0.238,-2.254,0.815422327,0.959092835
SLC25A30,0.237,0.237,3.863,0.039029697,0.197594514
H6PD,-0.237,0.237,4.438,0.041214156,0.20427766
EPB41L4B,-0.237,0.237,3.779,0.042197089,0.207285283
STK35,-0.237,0.237,5.032,0.046653427,0.221738529
PMS1,-0.237,0.237,3.457,0.047226394,0.223362647
PXYLP1,0.237,0.237,2.591,0.066892756,0.280431999
POLR1E,-0.237,0.237,5.243,0.102386102,0.363924534
WDR74,0.237,0.237,5.699,0.119017142,0.396783984
PLTP,-0.237,0.237,6.777,0.125721768,0.409451385
WDR3,-0.237,0.237,5.656,0.125979756,0.409756995
IFT88,-0.237,0.237,2.157,0.143657213,0.439518658
SMIM5,0.237,0.237,0.311,0.252719422,0.594919393
KLK6,-0.237,0.237,0.501,0.322247667,0.66723198
NAP1L2,-0.237,0.237,-0.895,0.407337804,0.742775778
