GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
PRAMEF2,0.000589268,0.000065,6.146453167,1.803807656,1.216199727,1.216199727
HERC5,0.000592158,0.0000654,6.142403604,1.797759393,1.805175813,1.805175813
AKAP14,0.000593758,0.0000657,-6.138811742,1.792392779,-1.069501461,1.069501461
IFI44,0.000594137,0.0000658,6.138186515,1.791458438,1.236879824,1.236879824
LCORL,0.000596725,0.0000662,6.133351221,1.784230681,1.815732127,1.815732127
SPAG8,0.000598064,0.0000665,-6.130889038,1.780548951,-1.00883328,1.00883328
RBM20,0.000600166,0.0000668,6.127188546,1.775013943,1.18525243,1.18525243
CCDC153,0.000601347,0.0000671,-6.124013473,1.770263275,-1.093864362,1.093864362
C19orf44,0.000601941,0.0000674,6.121766189,1.766899934,1.119859103,1.119859103
OR6W1P,0.000609031,0.0000688,6.107583871,1.745657736,1.023771766,1.023771766
CXCL9,0.000623933,0.0000712,6.083894835,1.710112532,1.135571385,1.135571385
C11orf70,0.000631223,0.0000723,-6.072550575,1.693062242,-1.07944269,1.07944269
TMEM59L,0.000631504,0.0000725,6.071264842,1.691128643,1.439362136,1.439362136
FBXW12,0.000634698,0.0000731,6.065445134,1.682373502,1.16543962,1.16543962
DYDC2,0.00063751,0.0000737,-6.059800801,1.67387758,-1.124966487,1.124966487
NEURL3,0.00064515,0.0000749,6.048486208,1.656833024,1.162271218,1.162271218
USP18,0.000674328,0.0000803,6.001046348,1.585169643,1.178779771,1.178779771
RSAD2,0.000684167,0.0000821,5.985901125,1.562223351,2.184801868,2.184801868
IMPG2,0.00068688,0.0000827,5.981040656,1.554852382,1.574918092,1.574918092
NPHP4,0.000690432,0.0000834,5.97553673,1.546501526,1.512726746,1.512726746
CTRL,0.000701897,0.0000852,5.960571653,1.523773807,1.019455249,1.019455249
MME,0.000705104,0.0000858,5.955625376,1.51625477,1.509689464,1.509689464
HYAL3,0.000706003,0.0000862,5.952797157,1.511953908,1.863116117,1.863116117
LOC729770,0.000709688,0.000087,5.946734468,1.502730545,1.07889006,1.07889006
IFIH1,0.000751937,0.0000944,5.891124031,1.417883319,1.06933339,1.06933339
SPAG6,0.00075222,0.0000945,-5.890151764,1.416395955,-1.122467188,1.122467188
GJA4,0.000784174,0.000101242,5.843866221,1.345432225,1.035478536,1.035478536
SPINT3,0.000788082,0.000101964,5.839082092,1.338079842,1.225657812,1.225657812
NKX2-3,0.000794955,0.000103326,5.830157209,1.324355074,1.049824527,1.049824527
FBN2,0.000796048,0.000103521,5.828891205,1.322407278,1.007814483,1.007814483
KCNQ2,0.000822877,0.000108601,5.796740184,1.272864779,1.444349264,1.444349264
FOXP1,0.000828072,0.00010975,5.789694871,1.261988671,1.107141944,1.107141944
LOC643037,0.000850074,0.000114355,-5.762206107,1.219485308,-1.077349052,1.077349052
C11orf88,0.000858568,0.000116029,-5.752503293,1.204456904,-1.212388668,1.212388668
MS4A8B,0.000869147,0.000118121,-5.74058579,1.185979793,-1.281520632,1.281520632
MAPK8,0.000877403,0.000119834,5.730991623,1.171090054,1.308921684,1.308921684
HACE1,0.000886143,0.000121573,5.721400444,1.156191787,1.299938263,1.299938263
CAPS,0.000931739,0.000130859,-5.672537646,1.080087403,-1.17161242,1.17161242
TMEM211,0.000935064,0.000131476,5.669420758,1.075221227,1.065364338,1.065364338
CLEC14A,0.000945526,0.000133543,5.659096059,1.059092085,1.036363612,1.036363612
ARHGAP19,0.00097829,0.000140493,5.625589811,1.006644008,1.19384847,1.19384847
MADCAM1,0.000981976,0.000141224,5.622168663,1.001279784,1.600522168,1.600522168
C2CD4A,0.000983753,0.000141699,5.61995262,0.997804225,1.068769729,1.068769729
ORC4,0.000985818,0.000142238,5.617449785,0.993878028,1.768498964,1.768498964
GABBR1,0.001011442,0.000147388,5.594041267,0.957113787,1.568394676,1.568394676
DEFB121,0.001019632,0.000149179,5.586102437,0.944627698,1.717745038,1.717745038
NAT8L,0.001073359,0.000160216,5.539305616,0.870843621,1.467163096,1.467163096
SAMHD1,0.001077984,0.000161127,5.535594895,0.864979609,1.061279622,1.061279622
TNS1,0.001091178,0.000163963,5.524192498,0.846948256,1.120248393,1.120248393
VAX2,0.001110975,0.000167817,5.50902645,0.822936519,1.157651391,1.157651391
RASSF4,0.001117441,0.000169154,5.503850713,0.814734512,1.372381362,1.372381362
ZBP1,0.001161171,0.000177996,5.470677389,0.762074218,1.113124509,1.113124509
OR4A15,0.001172443,0.000180409,5.461925418,0.748155024,1.123225624,1.123225624
TIGD5,0.001205858,0.000188332,5.434042361,0.703737161,1.411822966,1.411822966
DDX11,0.001236095,0.000195735,5.409092044,0.663897765,1.008707242,1.008707242
PGA3,0.001265679,0.000202323,5.387715202,0.629694247,1.14407706,1.14407706
GAS7,0.001269473,0.000203476,5.384050486,0.623824118,2.034271938,2.034271938
KRTAP10-2,0.00127981,0.000206033,5.375999344,0.610921167,1.010189785,1.010189785
ANKMY1,0.001284349,0.00020729,5.372078419,0.604634085,1.272771735,1.272771735
ARID5A,0.001290944,0.000208751,5.36755617,0.597380105,1.597023561,1.597023561
APOBEC4,0.001297728,0.000210324,-5.362721555,0.589621879,-1.044194717,1.044194717
C1orf87,0.001309254,0.000212836,-5.355082964,0.577357323,-1.02659625,1.02659625
NFXL1,0.001343587,0.000220394,5.33265926,0.54130623,1.047453369,1.047453369
FLJ40194,0.001347015,0.000221115,5.330565208,0.537935962,2.048629325,2.048629325
TRPC6,0.001351441,0.000222673,5.326059096,0.530681516,1.076466498,1.076466498
MNS1,0.001362273,0.000224937,-5.319571978,0.520232807,-1.024715539,1.024715539
VSTM2A,0.001493043,0.000256635,5.235366314,0.384068393,1.034674292,1.034674292
KRTAP5-10,0.001496496,0.000257403,5.233465539,0.380983308,1.461600675,1.461600675
FN1,0.001544351,0.000269029,-5.205396515,0.335366787,-1.571745654,1.571745654
TSNARE1,0.001546791,0.000269726,5.203754421,0.332694734,1.193864492,1.193864492
OR10G9,0.001553057,0.000271456,5.199699185,0.326094356,1.024778617,1.024778617
KIAA1199,0.001592399,0.000280992,5.177822247,0.290447647,1.029751595,1.029751595
DDX60L,0.001593354,0.000281301,5.177127589,0.28931467,1.1166712,1.1166712
LOC257358,0.001627661,0.000288836,5.160407664,0.262024552,1.344390454,1.344390454
TMED7-TICAM2,0.001692953,0.000305383,5.125254481,0.204521795,1.26344183,1.26344183
AOC3,0.001728434,0.000314332,5.107072802,0.174713801,1.231042858,1.231042858
MORN1,0.001745151,0.000319299,5.097214923,0.158533281,1.041152576,1.041152576
FAM166B,0.001781404,0.000328647,-5.079095197,0.128757171,-1.083199238,1.083199238
EPSTI1,0.001782392,0.000328986,5.078448394,0.12769345,1.051596211,1.051596211
LMF1,0.001802919,0.000334267,5.068461158,0.111261344,2.180481046,2.180481046
TNRC6C,0.001807961,0.000335771,5.065646598,0.106628056,1.214592242,1.214592242
PCNX,0.001832832,0.000341948,5.05422852,0.087820684,1.073518286,1.073518286
DDX60,0.001838502,0.000343598,5.051214568,0.082853263,1.016780688,1.016780688
MAL,0.001838898,0.000343726,-5.050981348,0.082468832,-1.314978434,1.314978434
XAF1,0.001871944,0.000352439,5.035322942,0.056641146,1.136954287,1.136954287
VWCE,0.001879764,0.000354394,5.031866746,0.050935844,1.194066324,1.194066324
GRIK5,0.001949212,0.00037169,5.002131063,0.001782818,1.039514275,1.039514275
CCDC59,0.002121382,0.000416419,4.931530762,-0.115397252,1.110620052,1.110620052
FLJ42022,0.002154629,0.000425976,4.917484924,-0.138789747,1.093738296,1.093738296
SAMD9L,0.002163159,0.000428423,4.913941544,-0.144695186,1.017204346,1.017204346
LOC283270,0.002250619,0.000452835,4.879718767,-0.201817111,1.13322334,1.13322334
FLJ37786,0.002325989,0.00047185,4.854382704,-0.244205833,1.233118027,1.233118027
APOBEC3A,0.002510494,0.000524088,4.789954915,-0.352376345,1.462897051,1.462897051
ST8SIA1,0.002577721,0.000543102,4.768167008,-0.389079031,1.262525988,1.262525988
NHLH2,0.002581855,0.000544601,4.766483785,-0.391917042,1.025917112,1.025917112
RABEPK,0.002616811,0.000554324,4.755681502,-0.410138994,1.186875686,1.186875686
TCF15,0.002704765,0.000580232,4.727841591,-0.457170019,1.12469335,1.12469335
DSCR10,0.002736178,0.000588494,4.719237727,-0.471724869,1.22528938,1.22528938
ABCD1,0.002933815,0.000646786,4.661921263,-0.568924164,1.39997471,1.39997471
FGF1,0.003051154,0.000684268,4.62786231,-0.626877538,1.046894581,1.046894581
PTPRC,0.003064108,0.000687936,4.62463505,-0.632376382,1.206731365,1.206731365
C13orf26,0.003123592,0.00070614,-4.608881666,-0.659236611,-1.192563051,1.192563051
ATXN7L1,0.003311049,0.000764237,4.561312878,-0.740527976,1.264686643,1.264686643
PPAPDC3,0.003320689,0.000767049,4.559107734,-0.744303065,2.399923104,2.399923104
TOX2,0.003524412,0.000828769,4.512730436,-0.82383386,1.047621006,1.047621006
RBM44,0.003703773,0.000884404,4.473926598,-0.890573489,1.01736111,1.01736111
HMP19,0.00373827,0.000896146,4.466063486,-0.904118961,1.064806656,1.064806656
IL18RAP,0.003810832,0.000919499,4.450741892,-0.930533517,1.047824142,1.047824142
ESRRG,0.00408445,0.001008695,4.395749206,-1.025563595,1.384658501,1.384658501
ISG15,0.004373678,0.001102423,4.343190797,-1.116705818,1.328734948,1.328734948
LANCL3,0.004456621,0.001130448,4.328379038,-1.142446208,1.0713201,1.0713201
LYZL1,0.004900106,0.001280342,4.255154955,-1.270044754,1.201597598,1.201597598
LOC401176,0.005261067,0.001409344,4.198968115,-1.368335251,1.706569719,1.706569719
ARHGEF15,0.006067813,0.001694087,4.091884149,-1.556531395,1.005880142,1.005880142
LIG3,0.006220122,0.001750281,4.07297765,-1.589871974,1.540291798,1.540291798
INHBC,0.006812699,0.001970526,4.004507334,-1.710884575,1.073844876,1.073844876
ASCC3,0.00685513,0.001986817,3.999762656,-1.719285369,1.600999844,1.600999844
HIPK2,0.007102506,0.002077869,3.973965112,-1.76499509,1.231576206,1.231576206
LINC00114,0.008321374,0.002534914,3.860005684,-1.967554521,1.731698785,1.731698785
PRR4,0.008601857,0.002642708,3.836235786,-2.009927721,1.081967461,1.081967461
BST2,0.010994218,0.003582053,3.663608968,-2.318752058,1.139820006,1.139820006
IGF2-AS,0.012831743,0.004352776,3.553807873,-2.516001432,1.055042396,1.055042396
CEACAM4,0.012838201,0.004356644,3.553308648,-2.516899385,1.20283689,1.20283689
CHGA,0.016039514,0.005728767,3.399954294,-2.793080531,1.023264534,1.023264534
SCGB2A1,0.017106426,0.006196549,-3.356160625,-2.872033974,-1.063850394,1.063850394
HAPLN2,0.021426374,0.008153788,-3.203495445,-3.147279455,-1.142455912,1.142455912
DUX4,0.041631998,0.018085222,2.762634537,-3.936965316,1.031240966,1.031240966
CD86,0.046960735,0.02085372,2.683764424,-4.076422973,1.06268652,1.06268652
HAVCR2,0.39902962,0.28567069,-1.120790663,-6.437692857,-1.131029249,1.131029249
HLA-DRA,0.000184534,0.00000941,-7.576841575,3.798439946,-0.999526334,0.999526334
CCDC141,0.000299787,0.0000215,6.941396406,2.946544634,0.99876219,0.99876219
LOC440337,0.00039919,0.0000348,6.587441424,2.448584642,0.998174839,0.998174839
ENPP5,0.000205694,0.0000117,-7.4052958,3.573651439,-0.997652837,0.997652837
TMEM158,0.0000877,0.00000223,8.779718899,5.27376599,0.996748749,0.996748749
DTX4,0.000426778,0.0000386,6.512794839,2.341361923,0.995519742,0.995519742
HCAR1,0.001605064,0.000284027,5.171025531,0.27935943,0.994872912,0.994872912
OPN1SW,0.00074867,0.0000936,5.897074313,1.426983058,0.994838032,0.994838032
KLF13,0.0000136,3.93E-08,12.98452719,9.317415718,0.994467148,0.994467148
NRARP,0.0000103,1.98E-08,13.85078676,9.984774566,0.992490988,0.992490988
FABP6,0.000441087,0.0000409,-6.471809411,2.282159732,-0.992327607,0.992327607
SCARNA13,0.0000305,0.000000234,-10.95736556,7.554679982,-0.990610413,0.990610413
LENG8,0.001577416,0.000277239,5.186337726,0.30433083,0.989071722,0.989071722
TSPAN19,0.001098997,0.000165492,-5.51813001,0.837353713,-0.987219317,0.987219317
TMPRSS11E,0.000077,0.00000176,-8.990566332,5.515281966,-0.986773897,0.986773897
SLC22A31,0.000379726,0.000032,6.649783783,2.537540277,0.986707586,0.986707586
BTNL8,0.001526463,0.000264661,5.215790169,0.352270878,0.985966083,0.985966083
TRIM67,0.106853782,0.056155612,2.128152728,-5.025749852,0.985844071,0.985844071
KIAA1217,0.0000315,0.000000259,10.85157788,7.453972969,0.985186043,0.985186043
CCDC65,0.001503962,0.000259217,-5.228998588,0.373731162,-0.983713951,0.983713951
SOD3,0.051439346,0.02328615,2.622585183,-4.184010289,0.983627299,0.983627299
SFTPA2,0.0001433,0.00000579,7.968815329,4.298173794,0.98170993,0.98170993
SERPING1,0.000415613,0.0000371,6.542124227,2.383583352,0.98156829,0.98156829
MFNG,0.001751595,0.000321145,5.093592034,0.152583395,0.981021553,0.981021553
CXorf41,0.001226091,0.000192786,-5.418910558,0.679585986,-0.98060905,0.98060905
SRD5A2,0.001755626,0.000322193,-5.091545921,0.14922226,-0.979873348,0.979873348
TTC25,0.003074301,0.000690851,-4.622083091,-0.63672551,-0.979799634,0.979799634
SH2D2A,0.000884589,0.000121204,5.723421873,1.159332828,0.979367897,0.979367897
MAMSTR,0.000106314,0.00000326,8.449620224,4.885779014,0.977760581,0.977760581
MYADM,0.000823063,0.000108709,5.796075737,1.271839353,0.974912123,0.974912123
IRAK2,0.000215858,0.0000126,7.346953622,3.496338714,0.974370179,0.974370179
LRRC23,0.000477984,0.0000469,-6.374328439,2.140405885,-0.973714516,0.973714516
SPCS1,0.0000103,2.03E-08,-13.81717973,9.959739434,-0.97366944,0.97366944
LOC100288292,0.000445986,0.0000417,6.457642028,2.261640737,0.970232129,0.970232129
CYR61,0.000143077,0.00000577,7.971882201,4.302009167,0.96954151,0.96954151
LRRC4,0.000128193,0.00000459,8.160822908,4.536109601,0.969304206,0.969304206
PLAGL2,0.0000386,0.000000376,10.46719094,7.079980939,0.968678338,0.968678338
ZC3H4,0.0000396,0.000000405,10.393024,7.006328734,0.96822655,0.96822655
ROPN1L,0.002182069,0.00043301,-4.907356925,-0.155673627,-0.967972678,0.967972678
HSH2D,0.00000789,0.000000013,14.40695393,10.38958353,0.967394095,0.967394095
POU2AF1,0.001763988,0.000324503,5.087059392,0.141850261,0.96691955,0.96691955
SNTN,0.00263734,0.000560643,-4.748767003,-0.421810661,-0.966319221,0.966319221
FAM92B,0.004041321,0.000994492,-4.404157413,-1.011011499,-0.966258587,0.966258587
C17orf110,0.000805519,0.000105248,-5.81777494,1.305294621,-0.96605181,0.96605181
ASB16,0.000331223,0.0000254,6.816601706,2.772934878,0.965944736,0.965944736
C18orf12,0.000124897,0.00000438,8.201188991,4.585571295,0.965690369,0.965690369
MEG3,0.00123307,0.000195076,5.411274394,0.667385947,0.965688068,0.965688068
LRRC48,0.000427377,0.0000389,-6.508780324,2.335573448,-0.9652449,0.9652449
DAGLA,0.0000291,0.000000214,11.05165051,7.643648778,0.964640428,0.964640428
EFHC1,0.0000789,0.00000185,-8.948674287,5.467679888,-0.964548289,0.964548289
CCDC164,0.002533639,0.000531198,-4.781711753,-0.366255101,-0.964059176,0.964059176
AMOTL1,0.000171559,0.00000822,7.684407963,3.937483188,0.963799917,0.963799917
COL10A1,0.003349854,0.00077663,4.551657616,-0.757061613,0.963756427,0.963756427
TMEM190,0.003715945,0.00088829,-4.471312154,-0.895076489,-0.960821186,0.960821186
PITX1,0.000463207,0.0000447,6.409607902,2.191862248,0.960586292,0.960586292
WHAMM,0.0000276,0.000000184,11.21703932,7.7979456,0.959752418,0.959752418
CCDC19,0.000704853,0.0000858,-5.956148074,1.517049509,-0.959253322,0.959253322
ERP27,0.0000618,0.00000115,-9.380630206,5.949614776,-0.958617451,0.958617451
KLF10,0.0000756,0.0000017,9.020928678,5.54966519,0.957149544,0.957149544
ELF4,0.0000953,0.0000027,8.614474382,5.081073012,0.95707676,0.95707676
ZSCAN1,0.009951124,0.003165803,3.733527297,-2.19345531,0.956553152,0.956553152
NEK2,0.000184534,0.00000941,-7.57685082,3.798451959,-0.956467781,0.956467781
PPP6R1,0.018627884,0.00688086,3.297818046,-2.977235293,0.956226969,0.956226969
KLK10,0.000334496,0.000026,6.80207605,2.752589623,0.95549047,0.95549047
ZNF750,0.000484129,0.0000479,6.359828718,2.119206745,0.955398456,0.955398456
GJB2,0.0000963,0.00000275,8.598282534,5.062027584,0.955337906,0.955337906
LOC285389,0.006852485,0.001985849,4.000043292,-1.71878843,0.955169047,0.955169047
SPRR2C,0.0000717,0.00000153,-9.120558477,5.661799592,-0.953921208,0.953921208
KHSRP,0.000369506,0.0000306,6.680963277,2.581828202,0.953241468,0.953241468
MRE11A,0.0000305,0.000000233,-10.96511464,7.562020012,-0.952488478,0.952488478
PPP2R3B-AS1,0.0000899,0.00000239,-8.720027879,5.204509725,-0.952189451,0.952189451
KIAA0226,0.0000079,1.32E-08,14.38147804,10.37142422,0.951698816,0.951698816
IL29,0.000316561,0.0000236,6.873315577,2.852095312,0.951648006,0.951648006
38595,0.0000154,6.02E-08,12.47285192,8.900518497,0.950857048,0.950857048
DNMT1,0.0000406,0.000000436,10.31862149,6.93194701,0.950295434,0.950295434
C9orf24,0.001928307,0.00036654,-5.010828989,0.016172873,-0.950087628,0.950087628
CAND1,0.002519523,0.000527131,4.786412444,-0.358339616,0.949729952,0.949729952
FBLN1,0.000441697,0.0000411,6.469470927,2.27877478,0.949555602,0.949555602
TBC1D3,0.000293828,0.0000209,6.964568687,2.978548818,0.949335127,0.949335127
ART4,0.009436597,0.002963402,3.771031344,-2.126362064,0.949171577,0.949171577
HS3ST1,0.00000973,1.68E-08,14.05998398,10.13912308,0.949089624,0.949089624
ZC3H12A,0.0000232,0.00000013,11.59361042,8.141084528,0.948716892,0.948716892
BHLHE40,0.0000129,3.17E-08,13.25139054,9.528001581,0.94803745,0.94803745
C1orf114,0.001186439,0.000183889,-5.449521561,0.728409227,-0.94766615,0.94766615
NEURL,0.000027,0.000000166,11.32438506,7.896905978,0.94757384,0.94757384
CREBBP,0.0000284,0.000000203,11.10848234,7.696921305,0.947504887,0.947504887
ASB2,0.0000825,0.00000199,8.88229459,5.391864842,0.947451146,0.947451146
POLR2A,0.00011094,0.00000352,8.385120764,4.808525564,0.94435484,0.94435484
NFKBIA,0.0000533,0.000000809,9.711984,6.306349775,0.943976694,0.943976694
LTBP4,0.000931276,0.000130739,5.673143335,1.08103286,0.943753946,0.943753946
TMEM229B,0.0000408,0.000000442,10.30311048,6.916377369,0.943528676,0.943528676
ABCC10,0.000226713,0.0000136,7.28822796,3.41807109,0.943471957,0.943471957
SNAR-E,0.005693811,0.00156214,4.138971462,-1.4736407,0.94275088,0.94275088
FAM81B,0.001724758,0.000313391,-5.108958422,0.177807297,-0.942741932,0.942741932
ZNF574,0.000256787,0.0000169,7.124432903,3.197379773,0.941724904,0.941724904
MUC6,0.009367131,0.002937744,3.77597333,-2.117527516,0.941600514,0.941600514
PCSK9,0.001262093,0.000201479,5.390411337,0.634011696,0.941590973,0.941590973
C11orf74,0.00010736,0.00000334,-8.430360857,4.862761444,-0.940718106,0.940718106
CASC1,0.001786029,0.000329918,-5.076671983,0.1247717,-0.94003508,0.94003508
SCGB3A2,0.000287726,0.0000202,6.988686254,3.01178171,0.939887825,0.939887825
LOC649294,0.000666208,0.0000787,6.014319486,1.605252625,0.939041342,0.939041342
PTPLAD2,0.00021135,0.0000123,-7.368665692,3.525162218,-0.939039465,0.939039465
INMT,0.000294538,0.0000209,6.961528619,2.974354185,0.938339134,0.938339134
DUSP2,0.0000689,0.00000141,9.195668957,5.745644644,0.938035159,0.938035159
LOC100131262,0.000399036,0.0000347,6.58933255,2.451290997,0.937269937,0.937269937
B9D1,0.000563574,0.0000606,-6.194952992,1.876063884,-0.93707364,0.93707364
IFIT5,0.000700347,0.0000849,5.962637225,1.52691273,0.93672367,0.93672367
PCDHGC4,0.001234603,0.000195354,5.410351038,0.665910174,0.936423859,0.936423859
HSPG2,0.000252627,0.0000164,7.145309227,3.225704744,0.9364042,0.9364042
ERC1,0.0000825,0.00000199,8.881690861,5.391173107,0.936264414,0.936264414
TMEM201,0.002194577,0.000436703,4.902108753,-0.164427958,0.936049286,0.936049286
SGK110,0.007709105,0.002305254,3.914339952,-1.8708513,0.935907835,0.935907835
C7orf57,0.001867699,0.000351298,-5.037350288,0.059987023,-0.935698203,0.935698203
KRTAP10-10,0.00193683,0.000368497,5.007509616,0.010682432,0.934993468,0.934993468
KIF21B,0.001141565,0.000174143,5.484910431,0.784687315,0.934302413,0.934302413
CCDC166,0.000407962,0.0000361,6.562141788,2.412331019,0.934214428,0.934214428
TMEM232,0.000300119,0.0000216,-6.938015438,2.941868981,-0.933711272,0.933711272
CCL15,0.000498494,0.0000501,-6.328826328,2.073780695,-0.933059766,0.933059766
THEG,0.001152147,0.000176095,5.477657496,0.773167631,0.932883996,0.932883996
HTR3E,0.003434176,0.000801613,4.532674253,-0.789601362,0.932459978,0.932459978
PROM1,0.000733017,0.000091,-5.915518831,1.455157982,-0.93194001,0.93194001
FAM83D,0.000795231,0.000103391,5.829733282,1.323702872,0.931846622,0.931846622
IFT46,0.0000535,0.000000821,-9.698277114,6.291809011,-0.931768545,0.931768545
SLC7A8,0.003187108,0.000725544,4.592551294,-0.687112827,0.931270973,0.931270973
SERPINB7,0.0000744,0.00000166,-9.042780731,5.574350176,-0.931207876,0.931207876
INTS1,0.0000738,0.00000162,9.06618387,5.600730954,0.930945046,0.930945046
WDR49,0.001438391,0.000242563,-5.271307721,0.442308745,-0.930778236,0.930778236
SCARNA9L,0.003638986,0.000863227,4.488387717,-0.865680762,0.930656429,0.930656429
MUC5AC,0.0000272,0.000000173,11.27984031,7.855953127,0.930338964,0.930338964
LINC00315,0.000593656,0.0000657,6.139113828,1.792844198,0.930298122,0.930298122
ADM,0.0000108,2.19E-08,13.72048333,9.887332253,0.930242128,0.930242128
MAN1C1,0.0000283,0.000000198,11.13543297,7.722091449,0.930157854,0.930157854
